s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
CHXIST,2009,"CHANGSHU XINDA CULTURAL ARTICLES CO.,LTD","CHANGSHU XINDA CULTURAL ARTICLES CO.,LTD",NA,"28. Mogan Road,Mocheng management area, YuShan Town, changshu City, ,",NA,NA,9/29/07,"28. mogan road,mocheng management area, yushan town, changshu city, ,","changshu xinda cultural articles co.,ltd","changshu xinda cultural articles co.,ltd",NA,NA,NA,28,mogan ,NA,yushan ,NA,mogan ,changshu xinda cultural articles ,changshu xinda cultural  ,,,,,
CHXIXI,2009,CHENGHAI XINAN XINGUANG PLASTIC PLANT,CHENGHAI XINAN XINGUANG PLASTIC PLANT,-,"SHANGDAIA SECTION OF A HIGHWAY WEST, XINAN TOWN, ,",NA,NA,4/24/07,"shangdaia section of a highway west, xinan town, ,",chenghai xinan xinguang plastic plant,chenghai xinan xinguang plastic plant,NA,NA,NA,NA,NA,NA,xinan ,NA,NA,chenghai xinan xinguang plastic plant,chenghai xinan xinguang  ,,,,,
CHYISH,2009,CHENGHAI YI SHENG ARTS FACTORY,"SHANTOU CHENGHAI YEESHENG ARTS & CRAFTS FACTORY CO., LTD.",-,"XIUCHUAN BLDG E, DONGHU RD, DISTRICT, CHENGHAI CITY, SHANTOU CITY, GUANGDONG PROVINCE,",NA,NA,6/17/08,"xiuchuan bldg e, donghu rd, district, chenghai city, shantou city, guangdong province,",chenghai yi sheng arts factory,"shantou chenghai yeesheng arts & crafts factory co., ltd.",guangdong,shantou,chenghai,NA,donghu ,NA,NA,NA,donghu ,chenghai yi sheng arts , yi sheng  ,,,,,
CHYUKN,2009,CHEUNG YUE KNITTING GARMENT LTD.,CHEUNG YUE KNITTING GARMENT LTD.,NA,"Unit A,C,D on 4/F, Selwyn Fty Bldg, 404 Kwun Tong, , ,",NA,NA,2001-12-09,"unit a,c,d on 4/f, selwyn fty bldg, 404 kwun tong, , ,",cheung yue knitting garment ltd.,cheung yue knitting garment ltd.,NA,NA,NA,"c(""4"", ""404"")",NA,NA,NA,NA,NA,cheung yue knitting garment ,cheung yue   ,,,,,
CHZHES,2009,CHANG ZHOU ESQUEL GARMENT CO. LTD.,CHANG ZHOU ESQUEL GARMENT CO. LTD.,-,"346 Middle He Ping Road, Changzhou, Jiangsu Province, ,",NA,NA,2005-08-07,"346 middle he ping road, changzhou, jiangsu province, ,",chang zhou esquel garment co. ltd.,chang zhou esquel garment co. ltd.,jiangsu,chang zhou,NA,346,middle he ping ,NA,NA,NA,middle he ping ,chang zhou esquel garment  , esquel   ,,,,,
CHZHXI,2009,CHANGSHU ZHONG XING GARMENT CO. LTD.,CHANGSHU YAMAWA GARMENTS CO. LTD.,NA,"8, DONG SHAN ROAD, CHANGSHU, YUSHAN INDUSTRIAL, ZONE, JIANGSU, CHINA, ,",NA,NA,2002-09-09,"8, dong shan road, changshu, yushan industrial, zone, jiangsu, china, ,",changshu zhong xing garment co. ltd.,changshu yamawa garments co. ltd.,jiangsu,NA,changshu,8,dong shan ,yushan ,NA,NA,dong shan ,changshu zhong xing garment  , zhong xing   ,,,,,
CIRLIN,2009,CIRCLE LINGERIE (DONGGUAN) LIMITED,CIRCLE LINGERIE (DONGGUAN) LIMITED,NA,"76-77 SANJIANG INDUSTRIAL AREA, HENG LI TOWN, DONGGUAN, GUANGDONG, CHINA,",NA,NA,2003-03-08,"76-77 sanjiang industrial area, heng li town, dongguan, guangdong, china,",circle lingerie (dongguan) limited,circle lingerie (dongguan) limited,guangdong,dongguan,dongguan,"c(""76"", ""77"")",NA,sanjiang ,heng li ,NA,NA,circle lingerie  ,circle lingerie  ,,,,,
CITFOO,2009,CITY FOOTWEAR MFY.,CITY FOOTWEAR MFY.,NAN QU HUAN CHENG SHOES FACTORY,"COMFORT IND. BLDG., NO.22-28, CHENGNAN 2ND RD. NANQU, ZHONGSHAN CITY, GUANGDONG PROVINCE,",NA,NA,2/20/06,"comfort ind. bldg., no.22-28, chengnan 2nd rd. nanqu, zhongshan city, guangdong province,",city footwear mfy.,city footwear mfy.,guangdong,zhongshan,zhongshan,"c(""22"", ""28"", ""2"")",nd ,NA,NA,NA,nd , footwear ,  ,,,,,
CITYUE,2009,CITY YUE XING ENTERPRISES LTD NANHAI,CITY YUE XING ENTERPRISES LTD NANHAI,-,"9 Luopu Road, Jiujiang Town, Nanhai, , ,",NA,NA,2005-05-09,"9 luopu road, jiujiang town, nanhai, , ,",city yue xing enterprises ltd nanhai,city yue xing enterprises ltd nanhai,NA,NA,nanhai,9,luopu ,NA,jiujiang ,NA,luopu , yue xing   nanhai, yue xing   ,,,,,
CIXFAS,2009,"CIXI ZHENG DE FASHION ACCESSORY CO., LTD","CIXI ZHENG DE FASHION ACCESSORY CO., LTD",NA,"#538 QING SHAO NIAN GONG ROAD（N）, CIXI, , ,",NA,NA,2009-05-07,"#538 qing shao nian gong road（n）, cixi, , ,","cixi zheng de fashion accessory co., ltd","cixi zheng de fashion accessory co., ltd",NA,NA,NA,538,qing shao nian gong ,NA,NA,NA,qing shao nian gong ,cixi zheng de fashion accessory  ,cixi zheng de    ,,,,,
CIXSTR,2009,"CIXI TIANGONG STRAWHAT CO., LTD","CIXI TIANGONG STRAWHAT CO., LTD",-,"B SEAT,#2 ,ZHENBAI ROAD, TIANYUAN TOWN, ,",NA,NA,3/22/07,"b seat,#2 ,zhenbai road, tianyuan town, ,","cixi tiangong strawhat co., ltd","cixi tiangong strawhat co., ltd",NA,NA,NA,2,zhenbai ,NA,tianyuan ,NA,zhenbai ,cixi tiangong strawhat  ,cixi tiangong   ,,,,,
CIXWON,2009,CIXI WONDERFUL SHOE LIMITED COMPANY,CIXI WONDERFUL SHOE LIMITED COMPANY,NA,"XIN DONG VILLAGE, LONG SHAN TOWN, CIXI CITY, ,",NA,NA,7/24/08,"xin dong village, long shan town, cixi city, ,",cixi wonderful shoe limited company,cixi wonderful shoe limited company,NA,NA,NA,NA,NA,NA,long shan ,xin dong ,NA,cixi wonderful shoe  ,cixi wonderful   ,,,,,
CLAART,2009,CLASSICAL ARTS ENTERPRISES,CLASSICAL ARTS ENTERPRISES,-,"No.12, HuLi Industrial Zone, MeiXi Road, TongAn, , ,",NA,NA,4/25/08,"no.12, huli industrial zone, meixi road, tongan, , ,",classical arts enterprises,classical arts enterprises,NA,NA,NA,12,meixi ,huli ,NA,NA,meixi ,classical arts ,classical  ,,,,,
CLAGLA,2009,CLASSICE GLASS COLLECTION FACTORY,"CGC (HK) CO., LTD.",-,"NO 4, FULI 1ST STREET, TIANMEI VILLAGE, HUANGJIANG TOWN, DONGGUAN CITY, GUANGDONG PROVINCE,",NA,NA,2005-03-06,"no 4, fuli 1st street, tianmei village, huangjiang town, dongguan city, guangdong province,",classice glass collection factory,"cgc (hk) co., ltd.",guangdong,dongguan,dongguan,"c(""4"", ""1"")",st ,NA,huangjiang ,tianmei ,st ,classice glass collection ,classice  collection ,,,,,
CLAINC,2009,CLASSY GLASS INC.,CLASSY GLASS INC.,-,"NO.1 FU RONG HUA INDUSTRIAL, NIAN FENG VILLAGE, PING DI TOWN, LONG GANG AREA,",NA,NA,2005-02-07,"no.1 fu rong hua industrial, nian feng village, ping di town, long gang area,",classy glass inc.,classy glass inc.,NA,NA,NA,1,NA,fu rong hua ,ping di ,nian feng ,NA,classy glass ,classy  ,,,,,
CLALAS,2009,"CLASSY LASS SHOES CO., LTD",NA,NA,NA,NA,NA,NA,NA,"classy lass shoes co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classy lass shoes  ,classy lass   ,,,,,
CLEMET,2009,CLEVER (HK) METAL & PLASTIC LTD. (CHINA - H1),CLEVER (HK) METALS & PLASTIC FACTORY,-,"NO.11 OF MABU ROAD, BAINIKENG VILLAGE, PINGHU TOWN, LONGGANG DISTRICT, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,11/16/99,"no.11 of mabu road, bainikeng village, pinghu town, longgang district, shenzhen city, guangdong province,",clever (hk) metal & plastic ltd. (china - h1),clever (hk) metals & plastic factory,guangdong,shenzhen,longgang,11,of mabu ,NA,pinghu ,bainikeng ,mabu ,clever ,clever ,,,,,
COCOID,2009,COCO INDUSTRY (SHEN ZHEN) CO. LTD (CHINA - S1),COCO INDUSTRY (SHEN ZHEN) CO. LTD (CHINA - S1),NA,"4 & 7/F, 8 BLDG, TIAN AN INDUSTRY TOWN, NANYOU, NANSHAN DISTRICT, ,",NA,NA,9/26/03,"4 & 7/f, 8 bldg, tian an industry town, nanyou, nanshan district, ,",coco industry (shen zhen) co. ltd (china - s1),coco industry (shen zhen) co. ltd (china - s1),NA,shen zhen,NA,"c(""4"", ""7"", ""8"")",NA,NA,tian an industry ,NA,NA,coco  ,coco  ,,,,,
COINEN,2009,COMMENCE INTERNATIONAL ENTERPRISES LTD,NA,NA,NA,NA,NA,NA,NA,commence international enterprises ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commence   ,commence   ,,,,,
COLTIA,2009,"COLART TIANJIN ART MATERIALS CO., LTD",NA,NA,NA,NA,NA,NA,NA,"colart tianjin art materials co., ltd",NA,tianjin,tianjin,NA,NA,NA,NA,NA,NA,NA,colart tianjin art materials  ,colart   materials  ,,,,,
CONCHI,2009,"CONQUER (CHINA) INDUSTRY CO., LTD",NA,NA,NA,NA,NA,NA,NA,"conquer (china) industry co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,conquer    ,conquer    ,,,,,
CONNIN,2009,"CONDA (NINGBO) ART MATERIAL MANUFACTURING CO., LTD","CONDA (NINGBO) ART MATERIAL MANUFACTURING CO., LTD",NA,"HUANGHAI ROAD, DAGANG INDUSTRIAL CITY, NINGBO ECONOMIC AND TECHNICAL DEVELOPMENT ZONE,",NA,NA,2006-12-06,"huanghai road, dagang industrial city, ningbo economic and technical development zone,","conda (ningbo) art material manufacturing co., ltd","conda (ningbo) art material manufacturing co., ltd",NA,ningbo,NA,NA,huanghai ,dagang ,NA,NA,huanghai ,conda  art material   ,conda      ,,,,,
CORLEA,2009,CORINNA LEATHER GARMENT CO. LTD.,CORINNA LEATHER GARMENT CO. LTD.,-,"NO.1 XINWEI ROAD, SHILONG TOWN, ,",NA,NA,9/18/09,"no.1 xinwei road, shilong town, ,",corinna leather garment co. ltd.,corinna leather garment co. ltd.,NA,NA,NA,1,xinwei ,NA,shilong ,NA,xinwei ,corinna leather garment  ,corinna    ,,,,,
COUFTY,2009,COUNTRY BRIGHT FACTORY,COUNTRY BRIGHT FACTORY,NA,"Baoyuan industrial Park,Linbeiling,xiegang Town, , ,",NA,NA,4/27/09,"baoyuan industrial park,linbeiling,xiegang town, , ,",country bright factory,country bright factory,NA,NA,NA,NA,NA,baoyuan ,xiegang ,NA,NA,country bright , bright ,,,,,
COUNTR,2009,"SHAOXING COUNTRY ZHENLU KNITTING & CLOTHING CO., LTD","SHAOXING COUNTRY ZHENLU KNITTING & CLOTHING CO., LTD",NA,"HUTANG BANQIAO SHAOXING COUNTY, ZHEJIANG CHINA, ,",NA,NA,7/21/08,"hutang banqiao shaoxing county, zhejiang china, ,","shaoxing country zhenlu knitting & clothing co., ltd","shaoxing country zhenlu knitting & clothing co., ltd",zhejiang,shaoxing,NA,NA,NA,NA,NA,NA,NA,shaoxing country zhenlu knitting  clothing  ,  zhenlu     ,,,,,
CRABAN,2009,"CRAFT BANK ENTERPRISE CO., LTD.","CRAFT BANK ENTERPRISE CO., LTD.",-,"NO.1 SOUTH INDUSTRIAL RD., SHI HAI INDUSTRIAL ZONE, WEN QUAN, CONG HUA,",NA,NA,2006-01-05,"no.1 south industrial rd., shi hai industrial zone, wen quan, cong hua,","craft bank enterprise co., ltd.","craft bank enterprise co., ltd.",NA,NA,NA,1,south industrial ,"c(""south "", ""shi hai "")",NA,NA,south industrial ,craft bank   , bank   ,,,,,
CRAGAN,2009,HS CRAFT (GANZHOU) CO.,HS CRAFT (GANZHOU) CO.,-,"NO. 1 BUSHANG E. ROAD SHASHI TOWN, GANZHOU CITY, JIANGXI PROVINCE,",NA,NA,2006-01-08,"no. 1 bushang e. road shashi town, ganzhou city, jiangxi province,",hs craft (ganzhou) co.,hs craft (ganzhou) co.,jiangxi,ganzhou,NA,1,NA,NA,road shashi ,NA,NA,hs craft  ,hs   ,,,,,
CRALTD,2009,"OU YA CRAFT CO.,LTD.","OU YA CRAFT CO.,LTD.",-,"HUANG NILUDUN XIQU, SHANJIANG, ZENGCHENG CITY, GUANGDONG PROVINCE, ,",NA,NA,4/20/04,"huang niludun xiqu, shanjiang, zengcheng city, guangdong province, ,","ou ya craft co.,ltd.","ou ya craft co.,ltd.",guangdong,NA,zengcheng,NA,NA,NA,NA,NA,NA,ou ya craft ,ou ya  ,,,,,
CREDEV,2009,CREATIVE IDEA DEVELOPMENT LTD,CREATIVE IDEA DEVELOPMENT LTD,-,"#16, QING PING RD., GAOLI INDUSTRIAL PARK, QING HU TOU CUN, TANG XIA TOWN, DONGGUAN CITY, GUANGDONG PROVINCE",NA,NA,2007-04-06,"#16, qing ping rd., gaoli industrial park, qing hu tou cun, tang xia town, dongguan city, guangdong province",creative idea development ltd,creative idea development ltd,guangdong,dongguan,dongguan,16,qing ping ,gaoli ,tang xia ,NA,qing ping ,creative idea development ,creative idea  ,,,,,
CRETEX,2009,CREATION TEXTILE CORP.LTD,CREATION TEXTILES CORP. LTD.,NA,"108 FENGYANG ROAD, XIANG CHENG TOWEN, SUZHOU, JIAN, , ,",NA,NA,4/30/09,"108 fengyang road, xiang cheng towen, suzhou, jian, , ,",creation textile corp.ltd,creation textiles corp. ltd.,NA,NA,NA,108,fengyang ,NA,NA,NA,fengyang ,creation textile ,creation  ,,,,,
CSACH1,2009,CHUAN SEN ART & DESIGN FACTORY (CHINA - H1),CHUAN SEN ART & DESIGN FACTORY (CHINA - H1),-,"YUAN SHI IND'L AREA, JIULI BU JIAN PU TOWN, CONGHUA, GUANGZHOU CITY, GUANGDONG PROVINCE,",NA,NA,3/31/03,"yuan shi ind'l area, jiuli bu jian pu town, conghua, guangzhou city, guangdong province,",chuan sen art & design factory (china - h1),chuan sen art & design factory (china - h1),guangdong,guangzhou,conghua,NA,NA,NA,jiuli bu jian pu ,NA,NA,chuan sen art  design  ,chuan sen     ,,,,,
CTAIGM,2009,CHUNG TAI GARMENT FACTORY LTD,CHUNG TAI GARMENT FACTORY LTD,NA,"ZHONG TAI INDUSTRIAL ZONE, XIN CUN, CI TIAN PU VILLAGE, GONG MING TOWN, baoan DISTRICT,",NA,NA,2002-06-01,"zhong tai industrial zone, xin cun, ci tian pu village, gong ming town, baoan district,",chung tai garment factory ltd,chung tai garment factory ltd,NA,NA,baoan,NA,NA,zhong tai ,gong ming ,ci tian pu ,NA,chung tai garment  ,chung tai   ,,,,,
CURPRO,2009,CURRENT PRODUCT OF LIVING (JIANGMEN) LTD.,CURRENT PRODUCT OF LIVING (JIANGMEN) LTD.,-,"No. 88, Dongnin Road, Jianghai District, Jiangmen City, Guangdong Province, ,",NA,NA,2011-05-06,"no. 88, dongnin road, jianghai district, jiangmen city, guangdong province, ,",current product of living (jiangmen) ltd.,current product of living (jiangmen) ltd.,guangdong,jiangmen,jianghai,88,dongnin ,NA,NA,NA,dongnin ,current  of living  ,current   living  ,,,,,
CWIINT,2009,CWI INTERNATIONAL CHINA INC,NA,NA,NA,NA,NA,NA,NA,cwi international china inc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cwi   ,cwi   ,,,,,
CYFACT,2009,CHUANG YI FACTORY,CHUANG YI FACTORY,-,"89 Shilian Road, Pang Jiang Dong Village, Shiji Town, Panyu District, ,",NA,NA,7/14/09,"89 shilian road, pang jiang dong village, shiji town, panyu district, ,",chuang yi factory,chuang yi factory,NA,NA,panyu,89,shilian ,NA,shiji ,pang jiang dong ,shilian ,chuang yi ,chuang yi ,,,,,
CYHBFT,2009,CHANG YI HANDBAG FACTORY,NA,NA,NA,NA,NA,NA,NA,chang yi handbag factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chang yi handbag ,chang yi  ,,,,,
DACTOY,2009,DACHEN TOY GARMENT MANUFACTORY,"DONGGUAN DA CHEN GARMENT CO., LTD.",-,"NO. 276 TAI-HE EAST ROAD, SHI-PAI TOWN, ,",NA,NA,3/23/07,"no. 276 tai-he east road, shi-pai town, ,",dachen toy garment manufactory,"dongguan da chen garment co., ltd.",NA,dongguan,NA,276,he east ,NA,pai ,NA,he east ,dachen toy garment manufactory,dachen   ,,,,,
DAHUCR,2009,DA HUI CRAFTS CO LTD,DA HUI CRAFTS CO LTD,大輝藝品有限公司,"TANHUASHAN IND DISTRICT, YONGCHUN, ,",Poly and ceramic craft,350,2006-05-07,"tanhuashan ind district, yongchun, ,",da hui crafts co ltd,da hui crafts co ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,da hui crafts  ,da hui   ,,,,,
DALCHA,2009,DALANG CHANGFU BUILD TARGET MANUFACTURING,DALANG CHANGFU BUILD TARGET MANUFACTURING,-,"8 Changfu Xi Road, Qiufu Road, DALANG TOWN, ,",NA,NA,8/15/03,"8 changfu xi road, qiufu road, dalang town, ,",dalang changfu build target manufacturing,dalang changfu build target manufacturing,NA,NA,NA,8,"c(""changfu xi "", ""qiufu "")",NA,dalang ,NA,"c(""changfu xi "", ""qiufu "")",dalang changfu build target ,dalang changfu build target ,,,,,
DALFAT,2009,DALIAN HUAJIE GLASS FACTORY,NA,NA,NA,NA,NA,NA,NA,dalian huajie glass factory,NA,NA,dalian,NA,NA,NA,NA,NA,NA,NA,dalian huajie glass , huajie  ,,,,,
DALFUD,2009,"DALIAN FUDA GLASS HANDCRAFTS PRODUCT CO., LTD.","DALIAN FUDA GLASS HANDCRAFTS PRODUCT CO., LTD.",NA,"MAJIALU VILLAGE, PAOTAI  TOWN, WAFANGDIAN CITY, DALIAN CITY, ,",NA,NA,2001-04-07,"majialu village, paotai  town, wafangdian city, dalian city, ,","dalian fuda glass handcrafts product co., ltd.","dalian fuda glass handcrafts product co., ltd.",NA,dalian,wafangdian,NA,NA,NA,NA,majialu ,NA,dalian fuda glass handcrafts   , fuda     ,,,,,
DALGUA,2009,"DALIAN GUANGSHENG ARTS & CRAFTS CO., LTD.","DALIAN GUANGLI CRAFTS CO., LTD.",NA,"east side of No.109, Zhuangda Road, Gaotun Village, Changsheng Community area, Zhuanghe City, Dalian City, China,",NA,40,7/24/09,"east side of no.109, zhuangda road, gaotun village, changsheng community area, zhuanghe city, dalian city, china,","dalian guangsheng arts & crafts co., ltd.","dalian guangli crafts co., ltd.",NA,dalian,zhuanghe,109,zhuangda ,NA,NA,gaotun ,zhuangda ,dalian guangsheng arts  crafts  , guangsheng     ,,,,,
DALSOC,2009,SOCKO METAL ORNAMENT FACTORY,SOCKO METAL ORNAMENT FACTORY,-,"FU XIN INDUSTRIAL DISTRICT, FU MIN INDUSTRIAL PARK 2, DA LANG TOWN,",NA,NA,12/23/08,"fu xin industrial district, fu min industrial park 2, da lang town,",socko metal ornament factory,socko metal ornament factory,NA,NA,NA,2,NA,"c(""fu xin "", ""fu min "")",da lang ,NA,NA,socko metal ornament ,socko   ,,,,,
DANLEA,2009,"DANYANG HUADA LEATHER CO., LTD","DANYANG HUADA LEATHER CO., LTD",NA,"10 DANGUI ROAD, DANYANG CITY, , ,",NA,NA,2003-02-09,"10 dangui road, danyang city, , ,","danyang huada leather co., ltd","danyang huada leather co., ltd",NA,NA,NA,10,dangui ,NA,NA,NA,dangui ,danyang huada leather  ,danyang huada   ,,,,,
DANYON,2009,DANDONG YONG YU GLASSWARE FACTORY,NA,NA,NA,NA,NA,NA,NA,dandong yong yu glassware factory,NA,NA,dandong,NA,NA,NA,NA,NA,NA,NA,dandong yong yu glassware , yong yu  ,,,,,
DAPCHI,2009,"DAPAI (CHINA) BAGS CO., LTD.",NA,NA,NA,Bags/ backpacks / suitcase,700,NA,NA,"dapai (china) bags co., ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dapai  bags  ,dapai    ,,,,,
DAQART,2009,"DAQIN ARTS & GIFTS CO.,LTD","DAQIN ARTS & GIFTS CO.,LTD",NA,"SANHE INDUSTRIALZONE, HENG KENG, MANAGEMENT AREA, LIAOBU TOWN, DONGGUAN CITY,",NA,NA,4/14/09,"sanhe industrialzone, heng keng, management area, liaobu town, dongguan city,","daqin arts & gifts co.,ltd","daqin arts & gifts co.,ltd",NA,dongguan,dongguan,NA,NA,sanhe ,liaobu ,NA,NA,daqin arts  gifts ,daqin    ,,,,,
DASORN,2009,"DASHING ORNAMENT & GIFT WARE CO., LTD.","DASHING ORNAMENT & GIFT WARE CO., LTD.",-,"BEI HUAN RD., MU LUNIND. ZONE, CHANG PING TOWN, DONGGUAN CITY, GUANGDONG PROVINCE,",NA,NA,6/21/04,"bei huan rd., mu lunind. zone, chang ping town, dongguan city, guangdong province,","dashing ornament & gift ware co., ltd.","dashing ornament & gift ware co., ltd.",guangdong,dongguan,dongguan,NA,bei huan ,NA,chang ping ,NA,bei huan ,dashing ornament  gift ware  ,dashing      ,,,,,
DATHAN,2009,DATING HANDBAG ENTERPRISES LTD,DADING HAND BAGS LIMITED COMPANY,-,"FENG GANG CHUN, ZHU TOWN, ZENGCHENG CITY, GUANGDONG PROVINCE, ,",NA,NA,1/23/08,"feng gang chun, zhu town, zengcheng city, guangdong province, ,",dating handbag enterprises ltd,dading hand bags limited company,guangdong,NA,zengcheng,NA,NA,NA,zhu ,NA,NA,dating handbag  ,dating   ,,,,,
DATHAN,2009,DADING HAND BAGS LIMITED COMPANY,DADING HAND BAGS LIMITED COMPANY,-,"FENG GANG CHUN, ZHU TOWN, ZENGCHENG CITY, GUANGDONG PROVINCE, ,",NA,NA,1/23/08,"feng gang chun, zhu town, zengcheng city, guangdong province, ,",dading hand bags limited company,dading hand bags limited company,guangdong,NA,zengcheng,NA,NA,NA,zhu ,NA,NA,dading hand bags  ,dading hand   ,,,,,
DATMAL,2009,DATA MALL INDUSTRY (SHENZHEN) WORLDWIDE CORP.,DATA MALL INDUSTRY (SHENZHEN) WORLDWIDE CORP.,-,"NO.88,NAN-LIN ROAD,SHIN-ER VILLAGE, 3RD INDUSTRIAL PARK,SHA-JIANG TOWN, BAO-AN DISTRICT,",NA,NA,6/15/07,"no.88,nan-lin road,shin-er village, 3rd industrial park,sha-jiang town, bao-an district,",data mall industry (shenzhen) worldwide corp.,data mall industry (shenzhen) worldwide corp.,NA,shenzhen,NA,"c(""88"", ""3"")",lin ,rd ,jiang ,er ,lin ,data mall   worldwide ,data mall   worldwide ,,,,,
DAWOIN,2009,"DALIAN AITEPI GARMENT CO.,LTD","DALIAN AITEPI GARMENT CO.,LTD",NA,"No. 578-10, Wuyi Road, Jinzhou District, , ,",NA,NA,3/19/09,"no. 578-10, wuyi road, jinzhou district, , ,","dalian aitepi garment co.,ltd","dalian aitepi garment co.,ltd",NA,dalian,jinzhou,"c(""578"", ""10"")",wuyi ,NA,NA,NA,wuyi ,dalian aitepi garment , aitepi  ,,,,,
DAXCOL,2009,DAXIN COLOR PRINTING PAPER CO. LTD.,DAXIN COLOR PRINTING PAPER CO. LTD.,-,"DA PU DISTRICT AREA, QINGXI TOWN, ,",NA,NA,2002-12-09,"da pu district area, qingxi town, ,",daxin color printing paper co. ltd.,daxin color printing paper co. ltd.,NA,NA,NA,NA,NA,NA,qingxi ,NA,NA,daxin color printing paper  ,daxin color    ,,,,,
DAYLAI,2009,"DAYU LAI KAI KNITTING CO., LTD","DAYU LAI KAI KNITTING CO., LTD",NA,"GRAND CENTURY INDUSTRIAL CITY, DAYU COUNTRY, GANXHOU CITY, ,",NA,NA,2006-03-09,"grand century industrial city, dayu country, ganxhou city, ,","dayu lai kai knitting co., ltd","dayu lai kai knitting co., ltd",NA,NA,NA,NA,NA,grand century ,NA,NA,NA,dayu lai kai knitting  ,dayu lai kai   ,,,,,
DAYOUP,2009,"DAYU OUPAI HANDBAG LEATHER CO., LTD.","DAYU OUPAI HANDBAG LEATHER CO., LTD.",-,"PIAOTANG ROAD, NEW CENTURY INDUSTRY AREA, DAYU XIAN, GANZHOU CITY, JIANGXI PROVINCE, ,",NA,NA,2008-06-09,"piaotang road, new century industry area, dayu xian, ganzhou city, jiangxi province, ,","dayu oupai handbag leather co., ltd.","dayu oupai handbag leather co., ltd.",jiangxi,jian,NA,NA,piaotang ,NA,NA,NA,piaotang ,dayu oupai handbag leather  ,dayu oupai    ,,,,,
DAYTOY,2009,DAYI TOYS CO. LTD,DAYI TOYS CO. LTD,-,"ZHOU CHUN INDUSTRIAL ZONE, BAI NI TOWN, SANSHUI, ,",NA,NA,9/14/06,"zhou chun industrial zone, bai ni town, sanshui, ,",dayi toys co. ltd,dayi toys co. ltd,NA,NA,sanshui,NA,NA,zhou chun ,bai ni ,NA,NA,dayi toys  ,dayi   ,,,,,
DBSHIN,2009,"DB SHOES IND CO., LTD",NA,NA,NA,NA,NA,NA,NA,"db shoes ind co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,db shoes   ,db    ,,,,,
DEBPLA,2009,DEBAO PLASTIC FACTORY,DEBAO PLASTIC FACTORY,-,"NO 1 INDUSTIRAL AREA CAIBAI, DAOJIAO TOWN, ,",NA,NA,9/26/08,"no 1 industiral area caibai, daojiao town, ,",debao plastic factory,debao plastic factory,NA,NA,NA,1,NA,NA,daojiao ,NA,NA,debao plastic ,debao  ,,,,,
DECHEN,2009,DECHENG FACTORY,DECHENG FACTORY,-,"LONGTOUSHAN INDUSTRIAL AREA, BEIGUAN TOWN, YANGDONG, YANGJIANG,",NA,NA,7/13/09,"longtoushan industrial area, beiguan town, yangdong, yangjiang,",decheng factory,decheng factory,NA,yangjiang,yangdong,NA,NA,longtoushan ,beiguan ,NA,NA,decheng ,decheng ,,,,,
DEHKAI,2009,"DEHUA KAIYUAN PORCELAIN INDUSTRY CO., LTD","DEHUA KAIYUAN PORCELAIN INDUSTRY CO., LTD",-,"NO. 63 DONGHUAN ROAD, DEHUA TOWN, ,",NA,NA,1/26/06,"no. 63 donghuan road, dehua town, ,","dehua kaiyuan porcelain industry co., ltd","dehua kaiyuan porcelain industry co., ltd",NA,NA,NA,63,donghuan ,NA,dehua ,NA,donghuan ,dehua kaiyuan porcelain   ,dehua kaiyuan    ,,,,,
DEHYIY,2009,"DEHUA YIYUAN ARTS & CRAFTS CO., LTD","DEHUA YIYUAN ARTS & CRAFTS CO., LTD",-,"Dayang Science-Tech Zone, De Hua, Fujiang, China",NA,NA,10/14/09,"dayang science-tech zone, de hua, fujiang, china","dehua yiyuan arts & crafts co., ltd","dehua yiyuan arts & crafts co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,dehua yiyuan arts  crafts  ,dehua yiyuan     ,,,,,
DELKNI,2009,DELI KNIFE & SCISSORS FACTORY,JIANG CHENG DELI KNIFE&SCISSOR FACTORY OF YANGJIANG,NA,"METAL INDUSTRIAL CITY,NAGE,GANGLE,YANGJIANG CITY, GUANGDONG PROVINCE, ,",NA,NA,2006-11-07,"metal industrial city,nage,gangle,yangjiang city, guangdong province, ,",deli knife & scissors factory,jiang cheng deli knife&scissor factory of yangjiang,guangdong,yangjiang,NA,NA,NA,metal ,NA,NA,NA,deli knife  scissors ,deli knife  scissors ,,,,,
