s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
ADVTOO,2009,ADVANCE TOOLING &MANUFACTURING FACTORY,ADVANCE TOOLING &MANUFACTURING FACTORY,-,"BUILDING 3&4, SHANGKENG INDUSTRIAL ESTATE, CHANGPING TOWN, DONGGUAN CITY, GUANGDONG PROVINCE",NA,NA,4/14/10,"building 3&4, shangkeng industrial estate, changping town, dongguan city, guangdong province",advance tooling &manufacturing factory,advance tooling &manufacturing factory,guangdong,dongguan,dongguan,"c(""3"", ""4"")",NA,shangkeng ,changping ,NA,NA,advance tooling  ,advance tooling  ,,,,,
ADXMAS,2009,AD XMAS,SHANTOU CHENGHAI AD X'MAS DECORATION COMPANY LIMITED,NA,"LONG TIAN IND. ZONE, YU TAN RD., GUANG YI JIE DAO, SHANTOU CITY, GUANGDONG,",NA,NA,3/27/00,"long tian ind. zone, yu tan rd., guang yi jie dao, shantou city, guangdong,",ad xmas,shantou chenghai ad x'mas decoration company limited,guangdong,shantou,NA,NA,yu tan ,NA,NA,NA,yu tan ,ad xmas,ad xmas,,,,,
AHMECH,2009,AH MEI CHINA MANUFACTURE CO. (CHINA - 1),AH MEI CHINA MANUFACTURE CO. (CHINA - 1),-,"NO. 8 INDUSTRIAL ROAD 3, SHENG PING VILLAGE, LONG GANG TOWN,",NA,NA,2/28/08,"no. 8 industrial road 3, sheng ping village, long gang town,",ah mei china manufacture co. (china - 1),ah mei china manufacture co. (china - 1),NA,NA,NA,"c(""8"", ""3"")",industrial ,NA,long gang ,sheng ping ,industrial ,ah mei  manufacture  ,ah mei    ,,,,,
ALETIA,2009,"ALEXANDAVE (TIANJIN) INDUSTRIES CO., LTD",NA,NA,NA,mosaic garden table,104,NA,NA,"alexandave (tianjin) industries co., ltd",NA,tianjin,tianjin,NA,NA,NA,NA,NA,NA,NA,alexandave  industries  ,alexandave  industries  ,,,,,
ALGKNI,2009,ALGAIN KNITTING FACTORY LIMITED,ALGAIN KNITTING FACTORY LIMITED,NA,"BAISHIGANG VILLAGE, CHANGPING TOWN, , ,",NA,NA,4/26/05,"baishigang village, changping town, , ,",algain knitting factory limited,algain knitting factory limited,NA,NA,NA,NA,NA,NA,changping ,baishigang ,NA,algain knitting  ,algain   ,,,,,
AMERCG,2009,YANGZHOU AMERIHUA CRAFT GIFTS COMPANY LIMITED,YANGZHOU AMERIHUA CRAFT GIFTS COMPANY LIMITED,NA,"NO. 55 GUANBEIBEI ROAD, XIAOGUANZHUANG TOWNSHIP, BAOYING COUNTY, ,",NA,NA,7/17/07,"no. 55 guanbeibei road, xiaoguanzhuang township, baoying county, ,",yangzhou amerihua craft gifts company limited,yangzhou amerihua craft gifts company limited,NA,yangzhou,baoying,55,guanbeibei ,NA,xiaoguanzhuang ,NA,guanbeibei ,yangzhou amerihua craft gifts  , amerihua    ,,,,,
ANDKAI,2009,ANDERSUM (KAIPING) CO LTD,ANDERSUM (KAIPING) CO LTD,-,"NO.3, BLOCK 3, KAIPING (CHANGCHENG), IND. PARK II, CHANGCHENG TOWN, KAIPING CITY, GUANGDONG PROVINCE,",NA,NA,2004-10-07,"no.3, block 3, kaiping (changcheng), ind. park ii, changcheng town, kaiping city, guangdong province,",andersum (kaiping) co ltd,andersum (kaiping) co ltd,guangdong,NA,kaiping,"c(""3"", ""3"")",NA,NA,changcheng ,NA,NA,andersum   ,andersum   ,,,,,
ANGARN,2009,ANGEL ARNE INTERNATIONAL LIMITED,NA,NA,NA,NA,NA,NA,NA,angel arne international limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,angel arne  ,angel arne  ,,,,,
ANHAIP,2009,ANHUI AIPAT TOY FACTORY,ANHUI AIPAT TOY FACTORY,NA,"NO 13A, NORTH INDUSTRIAL BUILDINGS, HUAYUAN ROAD, BAOHE INDUSTRIAL AREA, HEFEI CITY, ANHUI,",NA,NA,3/18/08,"no 13a, north industrial buildings, huayuan road, baohe industrial area, hefei city, anhui,",anhui aipat toy factory,anhui aipat toy factory,anhui,hefei,baohe,13,huayuan ,"c(""north "", ""baohe "")",NA,NA,huayuan ,anhui aipat toy , aipat  ,,,,,
ANHDAW,2009,"ANHUI CHIZHOU DAWEI TEXTILE CO., LTD.","ANHUI CHIZHOU DAWEI TEXTILE CO., LTD.",NA,"MEILI IND. DISTRICT, CHIZHOU,ANHUI, ,",Pet toys / Garments,98,9/27/09,"meili ind. district, chizhou,anhui, ,","anhui chizhou dawei textile co., ltd.","anhui chizhou dawei textile co., ltd.",anhui,chizhou,NA,NA,NA,NA,NA,NA,NA,anhui chizhou dawei textile  ,anhui  dawei   ,,,,,
ANHGRO,2009,ANHUI HONREN CO.(GROUP) LTD.,ANHUI HONREN CO.(GROUP) LTD.,NA,"NO.18, TONG'AN ROAD, TONGCHENG CITY, , ,",NA,NA,9/24/04,"no.18, tong'an road, tongcheng city, , ,",anhui honren co.(group) ltd.,anhui honren co.(group) ltd.,anhui,NA,tongcheng,18,an ,NA,NA,NA,an ,anhui honren  , honren  ,,,,,
ANHNAN,2009,"ANHUI NANAO CARPET CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"anhui nanao carpet co., ltd.",NA,anhui,NA,NA,NA,NA,NA,NA,NA,NA,anhui nanao carpet  , nanao carpet  ,,,,,
ANHQIN,2009,"ANHUI QINGFA WILLOWCRAFT GROUP CO., LTD.","ANHUI QINGFA WILLOWCRAFT GROUP CO., LTD.",NA,"INDUSTUAL ZONE NEW LINGHUAI TOWN HUOQIU, , ,",NA,NA,6/16/08,"industual zone new linghuai town huoqiu, , ,","anhui qingfa willowcraft group co., ltd.","anhui qingfa willowcraft group co., ltd.",anhui,NA,huoqiu,NA,NA,NA,industual zone new linghuai ,NA,NA,anhui qingfa willowcraft group  , qingfa    ,,,,,
ANHSHI,2009,ANHUI SHILIN GARMENT MANUFACTURING CO LTD,ANHUI SHILIN GARMENT MANUFACTURING CO LTD,NA,"HUOSHAN INDUSTRY DEVELOPMENT ZONE, LIUAN CITY, ,",NA,NA,3/13/09,"huoshan industry development zone, liuan city, ,",anhui shilin garment manufacturing co ltd,anhui shilin garment manufacturing co ltd,anhui,liuan,huoshan,NA,NA,NA,NA,NA,NA,anhui shilin garment   , shilin    ,,,,,
ANHTWI,2009,"ANHUI TWINKLE TOURIST ARTICLES CO., LTD.","ANHUI TWINKLE TOURIST ARTICLES CO., LTD.",NA,"EAST GAO CHENG ROAD ECONOMIC &, TECHNOLOGICAL DEVELOPMENT ZONE, ANHUI,",NA,NA,2006-09-09,"east gao cheng road economic &, technological development zone, anhui,","anhui twinkle tourist articles co., ltd.","anhui twinkle tourist articles co., ltd.",anhui,NA,NA,NA,east gao cheng ,NA,NA,NA,east gao cheng ,anhui twinkle tourist articles  , twinkle tourist   ,,,,,
ANHUJI,2009,"AN HUI JIABAO TOYS CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"an hui jiabao toys co., ltd.",NA,an hui,NA,NA,NA,NA,NA,NA,NA,NA,an hui jiabao toys  , jiabao   ,,,,,
ANHXIN,2009,XINHUI TOYS CO. LTD. OF ANHUI PROVINCE,XINHUI TOYS CO. LTD. OF ANHUI PROVINCE,NA,"69 SHUJIAXIANG, JIXI XIAN, ,",NA,NA,2005-12-06,"69 shujiaxiang, jixi xian, ,",xinhui toys co. ltd. of anhui province,xinhui toys co. ltd. of anhui province,anhui,NA,jixi,69,NA,NA,NA,NA,NA,xinhui toys   of anhui ,xinhui      ,,,,,
ANIASI,2009,ANIMAL MAGIC ASIA LTD.,ANIMAL MAGIC ASIA LTD.,-,"SANJIAOLING, SHADUN, ZENG BU, CHA, SHAN, ,",NA,NA,2005-06-09,"sanjiaoling, shadun, zeng bu, cha, shan, ,",animal magic asia ltd.,animal magic asia ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal magic asia ,animal magic asia ,,,,,
ANJDIN,2009,"ANJI DINGSEN GARMENT CO., LTD","ANJI DINGSEN GARMENT CO., LTD",NA,"KNITTED SWEATER FUNCT OF SCIENCE TECHNOLOGY, KUNTONG TOWN,ANJI COUNTY, HUZHOU,ZHEJIANG,",NA,NA,6/19/06,"knitted sweater funct of science technology, kuntong town,anji county, huzhou,zhejiang,","anji dingsen garment co., ltd","anji dingsen garment co., ltd",zhejiang,huzhou,anji,NA,NA,NA,kuntong ,NA,NA,anji dingsen garment  , dingsen   ,,,,,
ANJTIA,2009,"ANJI TIANHAO BAMBOO AND WOOD PRODUCTS CO.,LTD",NA,NA,NA,NA,NA,NA,NA,"anji tianhao bamboo and wood products co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anji tianhao bamboo and wood  ,anji tianhao     ,,,,,
ANQIHO,2009,"AN QING HONG RI GARMENT CO., LTD","AN QING HONG RI GARMENT CO., LTD",NA,"YIN HU INDUSTRIAL PARK, AN QING, ECONOMIC DEVELOPMENT ZONE, AN HUI PROVINCE, CHINA,",NA,NA,2011-05-08,"yin hu industrial park, an qing, economic development zone, an hui province, china,","an qing hong ri garment co., ltd","an qing hong ri garment co., ltd",an hui,an qing,NA,NA,NA,yin hu ,NA,NA,NA,an qing hong ri garment  , hong ri   ,,,,,
ANQLUY,2009,ANQIU LUYUAN HANDCRAFT ARTICLE FACTORY,"ANQIU CITY WANSHIDE HANDCRAFT CO., LTD.",NA,"xiaodongzhuang Village, Jinzhi Town, Anqiu City, Shandong Province, ,",NA,NA,3/14/09,"xiaodongzhuang village, jinzhi town, anqiu city, shandong province, ,",anqiu luyuan handcraft article factory,"anqiu city wanshide handcraft co., ltd.",shandong,NA,anqiu,NA,NA,NA,jinzhi ,xiaodongzhuang ,NA,anqiu luyuan handcraft article , luyuan   ,,,,,
ANSGAR,2009,"ANSHAN JINPENG GARMENTS CO., LTD","ANSHAN JINPENG GARMENTS CO., LTD",NA,"No.31 Yutian Street, Shengousi, Lishan District, Anshan, Liaoning, china,",NA,NA,9/16/09,"no.31 yutian street, shengousi, lishan district, anshan, liaoning, china,","anshan jinpeng garments co., ltd","anshan jinpeng garments co., ltd",liaoning,anshan,lishan,31,yutian ,NA,NA,NA,yutian ,anshan jinpeng garments  , jinpeng   ,,,,,
ANXSTA,2009,"ANXI STARBRIGHT ART FURNITURE CO.,LTD",NA,NA,NA,NA,NA,NA,NA,"anxi starbright art furniture co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anxi starbright art furniture ,anxi starbright   ,,,,,
ANXYIN,2009,"ANXI YINGXIN HANDICRAFT CO., LTD","ANXI YINGXIN HANDICRAFT CO., LTD",NA,"WUDU INDUSTRIAL AREA, ANXI FUJIAN PROVINCE, CHINA, ,",NA,NA,9/19/07,"wudu industrial area, anxi fujian province, china, ,","anxi yingxin handicraft co., ltd","anxi yingxin handicraft co., ltd",fujian,NA,anxi,NA,NA,wudu ,NA,NA,NA,anxi yingxin handicraft  , yingxin   ,,,,,
AONEPT,2009,"A-ONE PLUSH TOYS CO., LTD","A-ONE PLUSH TOYS CO., LTD",-,"FENG FANG 1ST INDUSTRIAL ZONE, FU YONG TOWN, ,",NA,NA,2002-11-03,"feng fang 1st industrial zone, fu yong town, ,","a-one plush toys co., ltd","a-one plush toys co., ltd",NA,NA,NA,1,NA,st ,fu yong ,NA,NA,aone plush toys  ,aone    ,,,,,
APELEA,2009,APEX LEATHER COMPANY LTD.,"DONGGUAN HONG LIN LEATHER GOODS CO.,LTD",-,"NO 69 XIANGXIN STREET, XIAOSHAN VILLAGE, LIAOBU TOWN, DONGGUAN, ,",NA,NA,2009-05-08,"no 69 xiangxin street, xiaoshan village, liaobu town, dongguan, ,",apex leather company ltd.,"dongguan hong lin leather goods co.,ltd",NA,dongguan,dongguan,69,xiangxin ,NA,liaobu ,xiaoshan ,xiangxin ,apex leather  ,apex   ,,,,,
APLLEA,2009,APLEX LEATHER LIMITED,NA,NA,NA,NA,NA,NA,NA,aplex leather limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aplex leather ,aplex  ,,,,,
APPWOR,2009,"FOSHAN NANHAI APPAREL WORKS CO., LTD","FOSHAN NANHAI APPAREL WORKS CO., LTD",NA,"MEIZHEN INDUSTRIAL AREA, SHANGBEI, XIN ROAD, JIUJIANG,NANHAI, ,",NA,NA,8/29/05,"meizhen industrial area, shangbei, xin road, jiujiang,nanhai, ,","foshan nanhai apparel works co., ltd","foshan nanhai apparel works co., ltd",NA,foshan,nanhai,NA,xin ,meizhen ,NA,NA,xin ,foshan nanhai apparel works  , nanhai    ,,,,,
ARGAIN,2009,ARTIE GARDEN INTERNATIONAL LTD.,ARTIE GARDEN INTERNATIONAL LTD.,NA,"#15 NAN LI XI ROAD, NAN PU CUN, SHI QI ZHEN, PANYU AREA,",NA,NA,2009-09-09,"#15 nan li xi road, nan pu cun, shi qi zhen, panyu area,",artie garden international ltd.,artie garden international ltd.,NA,NA,panyu,15,nan li xi ,NA,NA,NA,nan li xi ,artie garden  ,artie garden  ,,,,,
ARTREN,2009,"ARTREND INDUSTRY (SHENZHEN) CO.,LTD","ARTREND INDUSTRY (SHENZHEN) CO.,LTD",-,"Artrend Industry Park, 19 FuMing Road, PingHu Street Community Committee, Long Gang Zone, ShenZhen City, Guangdong Province,",NA,NA,8/17/09,"artrend industry park, 19 fuming road, pinghu street community committee, long gang zone, shenzhen city, guangdong province,","artrend industry (shenzhen) co.,ltd","artrend industry (shenzhen) co.,ltd",guangdong,shenzhen,long gang,19,"c(""fuming "", ""pinghu "")",NA,NA,NA,"c(""fuming "", ""pinghu "")",artrend   ,artrend   ,,,,,
ARTTEC,2009,ART TECH WOODWARE,ART TECH WOODWARE LTD,-,"11 WEST STREET ZHEN XI ROAD, BACUN INDUSTRIAL ZONE, WESTERN DISTRICT, XIAOLAN TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE,",NA,NA,1/26/07,"11 west street zhen xi road, bacun industrial zone, western district, xiaolan town, zhongshan city, guangdong province,",art tech woodware,art tech woodware ltd,guangdong,zhongshan,zhongshan,11,west street zhen xi ,bacun ,xiaolan ,NA,west street zhen xi ,art tech woodware,  ,,,,,
ASBGAR,2009,ASBO GARMENT (SHENZHEN) CO LTD,NA,NA,NA,NA,NA,NA,NA,asbo garment (shenzhen) co ltd,NA,NA,shenzhen,NA,NA,NA,NA,NA,NA,NA,asbo garment   ,asbo    ,,,,,
ASIGMT,2009,"ASIA ONE GMT. MFG. (DONGGUANG) CO., LTD.","ASIA ONE GMT. MFG. (DONGGUANG) CO., LTD.",NA,"Baishigang 3rd Industrial Zone, Changping Town, ,",NA,NA,2002-09-09,"baishigang 3rd industrial zone, changping town, ,","asia one gmt. mfg. (dongguang) co., ltd.","asia one gmt. mfg. (dongguang) co., ltd.",NA,NA,NA,3,NA,rd ,changping ,NA,NA,asia one gmt    ,asia one     ,,,,,
ASIORI,2009,ASIA ORIENT INTERNATIONAL CO; LTD.,ASIA ORIENT INTERNATIONAL CO; LTD.,-,"BAI SHA 4TH VILLAGE DIST, HU MEN TOWN DONGGUAN CITY, GUANG DONG PROVINCE, CHINA,",NA,NA,2002-07-06,"bai sha 4th village dist, hu men town dongguan city, guang dong province, china,",asia orient international co; ltd.,asia orient international co; ltd.,guang dong,dongguan,dongguan,4,NA,NA,hu men ,th ,NA,asia orient   ,asia orient   ,,,,,
ASONMA,2009,"ASIA ONE LEATHERWARE MANUFACTURING CO.,","ASIA ONE LEATHERWARE MANUFACTURING CO.,",-,"BLK 9，FU CHENG INDUSTRY PARK, #82 SHILIAN ROAD，SHIJI VILLAGE, SHIJI TOWN,",NA,NA,2004-01-09,"blk 9，fu cheng industry park, #82 shilian road，shiji village, shiji town,","asia one leatherware manufacturing co.,","asia one leatherware manufacturing co.,",NA,NA,NA,"c(""9"", ""82"")",shilian ,NA,shiji ,shiji ,shilian ,asia one leatherware  ,asia one   ,,,,,
AXXHAI,2009,AXXONN (HAINING). LTD.,NA,NA,NA,Camping Accessories,22,NA,NA,axxonn (haining). ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,axxonn  ,axxonn  ,,,,,
BAICLO,2009,BAIHE CLOTHING INDUSTRIAL CO. LTD.,BAIHE CLOTHING INDUSTRIAL CO. LTD.,NA,"NO.3168, WAI QING SONG ROAD, QING PU DISTRICT, , ,",NA,NA,2012-04-08,"no.3168, wai qing song road, qing pu district, , ,",baihe clothing industrial co. ltd.,baihe clothing industrial co. ltd.,NA,NA,NA,3168,wai qing song ,NA,NA,NA,wai qing song ,baihe clothing   ,baihe    ,,,,,
