,Province,Prefecture,county
2111,si chuan,nan chong,lang zhong
2112,si chuan,yi bin,cui ping
2113,si chuan,yi bin,nan xi
2114,si chuan,yi bin,yi bin
2115,si chuan,yi bin,jiang an
2116,si chuan,yi bin,chang ning
2117,si chuan,yi bin,gao
2118,si chuan,yi bin,gong
2119,si chuan,yi bin,yun lian
2120,si chuan,yi bin,xing wen
2121,si chuan,yi bin,ping shan
2122,si chuan,guang an,guang an
2123,si chuan,guang an,qian feng
2124,si chuan,guang an,yue chi
2125,si chuan,guang an,wu sheng
2126,si chuan,guang an,lin shui
2127,si chuan,guang an,hua ying
2128,si chuan,da zhou,da chuan
2129,si chuan,da zhou,tong chuan
2130,si chuan,da zhou,xuan han
2131,si chuan,da zhou,kai jiang
2132,si chuan,da zhou,da zhu
2133,si chuan,da zhou,qu
2134,si chuan,da zhou,wan yuan
2135,si chuan,ya an,yu cheng
2136,si chuan,ya an,ming shan
2137,si chuan,ya an,ying jing
2138,si chuan,ya an,han yuan
2139,si chuan,ya an,shi mian
2140,si chuan,ya an,tian quan
2141,si chuan,ya an,lu shan
2142,si chuan,ya an,bao xing
2143,si chuan,a ba cang qiang,wen chuan
2144,si chuan,a ba cang qiang,li
2145,si chuan,a ba cang qiang,mao
2146,si chuan,a ba cang qiang,song pan
2147,si chuan,a ba cang qiang,jiu zhai gou
2148,si chuan,a ba cang qiang,jin chuan
2149,si chuan,a ba cang qiang,xiao jin
2150,si chuan,a ba cang qiang,hei shui
2151,si chuan,a ba cang qiang,ma er kang
2152,si chuan,a ba cang qiang,rang tang
2153,si chuan,a ba cang qiang,a ba
2154,si chuan,a ba cang qiang,ruo er gai
2155,si chuan,a ba cang qiang,hong yuan
2156,si chuan,gan zi cang,kang ding
2157,si chuan,gan zi cang,lu ding
2158,si chuan,gan zi cang,dan ba
2159,si chuan,gan zi cang,jiu long
2160,si chuan,gan zi cang,ya jiang
2161,si chuan,gan zi cang,dao fu
2162,si chuan,gan zi cang,lu huo
2163,si chuan,gan zi cang,gan zi
2164,si chuan,gan zi cang,xin long
2165,si chuan,gan zi cang,de ge
2166,si chuan,gan zi cang,bai yu
2167,si chuan,gan zi cang,shi qu
2168,si chuan,gan zi cang,se da
2169,si chuan,gan zi cang,li tang
2170,si chuan,gan zi cang,ba tang
2171,si chuan,gan zi cang,xiang cheng
2172,si chuan,gan zi cang,dao cheng
2173,si chuan,gan zi cang,de rong
2174,si chuan,liang shan yi,xi chang
2175,si chuan,liang shan yi,mu li cang
2176,si chuan,liang shan yi,yan yuan
2177,si chuan,liang shan yi,de chang
2178,si chuan,liang shan yi,hui li
2179,si chuan,liang shan yi,hui dong
2180,si chuan,liang shan yi,ning nan
2181,si chuan,liang shan yi,pu ge
2182,si chuan,liang shan yi,bu tuo
2183,si chuan,liang shan yi,jin yang
2184,si chuan,liang shan yi,zhao jue
2185,si chuan,liang shan yi,xi de
2186,si chuan,liang shan yi,mian ning
2187,si chuan,liang shan yi,yue xi
2188,si chuan,liang shan yi,gan luo
2189,si chuan,liang shan yi,mei gu
2190,si chuan,liang shan yi,lei bo
2191,si chuan,ba zhong,ba zhou
2192,si chuan,ba zhong,en yang
2193,si chuan,ba zhong,tong jiang
2194,si chuan,ba zhong,nan jiang
2195,si chuan,ba zhong,ping chang
2196,si chuan,mei shan,dong po
2197,si chuan,mei shan,peng shan
2198,si chuan,mei shan,ren shou
2199,si chuan,mei shan,hong ya
2200,si chuan,mei shan,dan leng
2201,si chuan,mei shan,qing shen
2202,si chuan,zi yang,yan jiang
2203,si chuan,zi yang,an yue
2204,si chuan,zi yang,le zhi
2205,gui zhou,gui yang,nan ming
2206,gui zhou,gui yang,yun yan
2207,gui zhou,gui yang,hua xi
2208,gui zhou,gui yang,wu dang
2209,gui zhou,gui yang,bai yun
2210,gui zhou,gui yang,guan shan hu
2211,gui zhou,gui yang,kai yang
2212,gui zhou,gui yang,xi feng
2213,gui zhou,gui yang,xiu wen
2214,gui zhou,gui yang,qing zhen
2215,gui zhou,liu pan shui,zhong shan
2216,gui zhou,liu pan shui,liu zhi te
2217,gui zhou,liu pan shui,pan
2218,gui zhou,liu pan shui,shui cheng
2219,gui zhou,zun yi,hong hua gang
2220,gui zhou,zun yi,hui chuan
2221,gui zhou,zun yi,zun yi
2222,gui zhou,zun yi,tong zi
2223,gui zhou,zun yi,sui yang
2224,gui zhou,zun yi,zheng an
2225,gui zhou,zun yi,dao zhen yi lao miao
2226,gui zhou,zun yi,wu chuan yi lao miao
2227,gui zhou,zun yi,feng gang
2228,gui zhou,zun yi,mei tan
2229,gui zhou,zun yi,yu qing
2230,gui zhou,zun yi,xi shui
2231,gui zhou,zun yi,chi shui
2232,gui zhou,zun yi,ren huai
2233,gui zhou,tong ren,bi jiang
2234,gui zhou,tong ren,wan shan
2235,gui zhou,tong ren,jiang kou
2236,gui zhou,tong ren,yu ping tong
2237,gui zhou,tong ren,shi qian
2238,gui zhou,tong ren,si nan
2239,gui zhou,tong ren,yin jiang tu jia miao
2240,gui zhou,tong ren,de jiang
2241,gui zhou,tong ren,yan he tu jia
2242,gui zhou,tong ren,song tao miao
2243,gui zhou,qian xi nan bu yi miao,xing yi
2244,gui zhou,qian xi nan bu yi miao,xing ren
2245,gui zhou,qian xi nan bu yi miao,pu an
2246,gui zhou,qian xi nan bu yi miao,qing long
2247,gui zhou,qian xi nan bu yi miao,zhen feng
2248,gui zhou,qian xi nan bu yi miao,wang mo
2249,gui zhou,qian xi nan bu yi miao,ce heng
2250,gui zhou,qian xi nan bu yi miao,an long
2251,gui zhou,bi jie,qi xing guan
2252,gui zhou,bi jie,da fang
2253,gui zhou,bi jie,qian xi
2254,gui zhou,bi jie,jin sha
2255,gui zhou,bi jie,zhi jin
2256,gui zhou,bi jie,na yong
2257,gui zhou,bi jie,wei ning yi hui miao
2258,gui zhou,bi jie,he zhang
2259,gui zhou,an shun,xi xiu
2260,gui zhou,an shun,ping ba
2261,gui zhou,an shun,pu ding
2262,gui zhou,an shun,guan ling bu yi miao
2263,gui zhou,an shun,zhen ning bu yi miao
2264,gui zhou,an shun,zi yun miao bu yi
2265,gui zhou,qian dong nan miao tong,kai li
2266,gui zhou,qian dong nan miao tong,huang ping
2267,gui zhou,qian dong nan miao tong,shi bing
2268,gui zhou,qian dong nan miao tong,san sui
2269,gui zhou,qian dong nan miao tong,zhen yuan
2270,gui zhou,qian dong nan miao tong,cen gong
2271,gui zhou,qian dong nan miao tong,tian zhu
2272,gui zhou,qian dong nan miao tong,jin ping
2273,gui zhou,qian dong nan miao tong,jian he
2274,gui zhou,qian dong nan miao tong,tai jiang
2275,gui zhou,qian dong nan miao tong,li ping
2276,gui zhou,qian dong nan miao tong,rong jiang
2277,gui zhou,qian dong nan miao tong,cong jiang
2278,gui zhou,qian dong nan miao tong,lei shan
2279,gui zhou,qian dong nan miao tong,ma jiang
2280,gui zhou,qian dong nan miao tong,dan zhai
2281,gui zhou,qian nan bu yi miao,du yun
2282,gui zhou,qian nan bu yi miao,fu quan
2283,gui zhou,qian nan bu yi miao,li bo
2284,gui zhou,qian nan bu yi miao,gui ding
2285,gui zhou,qian nan bu yi miao,weng an
2286,gui zhou,qian nan bu yi miao,du shan
2287,gui zhou,qian nan bu yi miao,ping tang
2288,gui zhou,qian nan bu yi miao,luo dian
2289,gui zhou,qian nan bu yi miao,chang shun
2290,gui zhou,qian nan bu yi miao,long li
2291,gui zhou,qian nan bu yi miao,hui shui
2292,gui zhou,qian nan bu yi miao,san du shui
2293,yun nan,kun ming,wu hua
2294,yun nan,kun ming,pan long
2295,yun nan,kun ming,guan du
2296,yun nan,kun ming,xi shan
2297,yun nan,kun ming,dong chuan
2298,yun nan,kun ming,cheng gong
2299,yun nan,kun ming,jin ning
2300,yun nan,kun ming,fu min
2301,yun nan,kun ming,yi liang
2302,yun nan,kun ming,shi lin yi
2303,yun nan,kun ming,song ming
2304,yun nan,kun ming,lu quan yi miao
2305,yun nan,kun ming,xun dian hui
2306,yun nan,kun ming,an ning
2307,yun nan,qu jing,qi lin
2308,yun nan,qu jing,ma long
2309,yun nan,qu jing,lu liang
2310,yun nan,qu jing,shi zong
2311,yun nan,qu jing,luo ping
2312,yun nan,qu jing,fu yuan
2313,yun nan,qu jing,hui ze
2314,yun nan,qu jing,zhan yi
2315,yun nan,qu jing,xuan wei
2316,yun nan,yu xi,hong ta
2317,yun nan,yu xi,jiang chuan
2318,yun nan,yu xi,cheng jiang
2319,yun nan,yu xi,tong hai
2320,yun nan,yu xi,hua ning
2321,yun nan,yu xi,yi men
2322,yun nan,yu xi,e shan yi
2323,yun nan,yu xi,xin ping yi dai
2324,yun nan,yu xi,yuan jiang ha ni yi dai
2325,yun nan,zhao tong,zhao yang
2326,yun nan,zhao tong,lu dian
2327,yun nan,zhao tong,qiao jia
2328,yun nan,zhao tong,yan jin
2329,yun nan,zhao tong,da guan
2330,yun nan,zhao tong,yong shan
2331,yun nan,zhao tong,sui jiang
2332,yun nan,zhao tong,zhen xiong
2333,yun nan,zhao tong,yi liang
2334,yun nan,zhao tong,wei xin
2335,yun nan,zhao tong,shui fu
2336,yun nan,chu xiong yi,chu xiong
2337,yun nan,chu xiong yi,shuang bai
2338,yun nan,chu xiong yi,mou ding
2339,yun nan,chu xiong yi,nan hua
2340,yun nan,chu xiong yi,yao an
2341,yun nan,chu xiong yi,da yao
2342,yun nan,chu xiong yi,yong ren
2343,yun nan,chu xiong yi,yuan mou
2344,yun nan,chu xiong yi,wu ding
2345,yun nan,chu xiong yi,lu feng
2346,yun nan,hong he ha ni yi,ge jiu
2347,yun nan,hong he ha ni yi,kai yuan
2348,yun nan,hong he ha ni yi,meng zi
2349,yun nan,hong he ha ni yi,ping bian miao
2350,yun nan,hong he ha ni yi,jian shui
2351,yun nan,hong he ha ni yi,shi ping
2352,yun nan,hong he ha ni yi,mi le
2353,yun nan,hong he ha ni yi,lu xi
2354,yun nan,hong he ha ni yi,yuan yang
2355,yun nan,hong he ha ni yi,hong he
2356,yun nan,hong he ha ni yi,jin ping miao yao dai
2357,yun nan,hong he ha ni yi,lv chun
2358,yun nan,hong he ha ni yi,he kou yao
2359,yun nan,wen shan zhuang miao,wen shan
2360,yun nan,wen shan zhuang miao,yan shan
2361,yun nan,wen shan zhuang miao,xi chou
2362,yun nan,wen shan zhuang miao,ma li po
2363,yun nan,wen shan zhuang miao,ma guan
2364,yun nan,wen shan zhuang miao,qiu bei
2365,yun nan,wen shan zhuang miao,guang nan
2366,yun nan,wen shan zhuang miao,fu ning
2367,yun nan,pu er,si mao
2368,yun nan,pu er,ning er ha ni yi
2369,yun nan,pu er,mo jiang ha ni
2370,yun nan,pu er,jing dong yi
2371,yun nan,pu er,jing gu dai yi
2372,yun nan,pu er,zhen yuan yi ha ni la hu
2373,yun nan,pu er,jiang cheng ha ni yi
2374,yun nan,pu er,meng lian dai la hu wa
2375,yun nan,pu er,lan cang la hu
2376,yun nan,pu er,xi wa
2377,yun nan,xi shuang ban na dai,jing hong
2378,yun nan,xi shuang ban na dai,meng hai
2379,yun nan,xi shuang ban na dai,meng la
2380,yun nan,da li bai,da li
2381,yun nan,da li bai,yang pi yi
2382,yun nan,da li bai,xiang yun
2383,yun nan,da li bai,bin chuan
2384,yun nan,da li bai,mi du
2385,yun nan,da li bai,nan jian yi
2386,yun nan,da li bai,wei shan yi hui
2387,yun nan,da li bai,yong ping
2388,yun nan,da li bai,yun long
2389,yun nan,da li bai,er yuan
2390,yun nan,da li bai,jian chuan
2391,yun nan,da li bai,he qing
2392,yun nan,bao shan,long yang
2393,yun nan,bao shan,shi dian
2394,yun nan,bao shan,teng chong
2395,yun nan,bao shan,long ling
2396,yun nan,bao shan,chang ning
2397,yun nan,de hong dai jing po,rui li
2398,yun nan,de hong dai jing po,mang
2399,yun nan,de hong dai jing po,liang he
2400,yun nan,de hong dai jing po,ying jiang
2401,yun nan,de hong dai jing po,long chuan
2402,yun nan,li jiang,gu cheng
2403,yun nan,li jiang,yu long na xi
2404,yun nan,li jiang,yong sheng
2405,yun nan,li jiang,hua ping
2406,yun nan,li jiang,ning lang yi
2407,yun nan,nu jiang li su,lu shui
2408,yun nan,nu jiang li su,fu gong
2409,yun nan,nu jiang li su,gong shan du long nu
2410,yun nan,nu jiang li su,lan ping bai pu mi
2411,yun nan,di qing cang,xiang ge li la
2412,yun nan,di qing cang,de qin
2413,yun nan,di qing cang,wei xi li su
2414,yun nan,lin cang,lin xiang
2415,yun nan,lin cang,feng qing
2416,yun nan,lin cang,yun
2417,yun nan,lin cang,yong de
2418,yun nan,lin cang,zhen kang
2419,yun nan,lin cang,shuang jiang la hu wa bu lang dai
2420,yun nan,lin cang,geng ma dai wa
2421,yun nan,lin cang,cang yuan wa
2422,xi zang,la sa,cheng guan
2423,xi zang,la sa,lin zhou
2424,xi zang,la sa,dang xiong
2425,xi zang,la sa,ni mu
2426,xi zang,la sa,qu shui
2427,xi zang,la sa,dui long de qing
2428,xi zang,la sa,da zi
2429,xi zang,la sa,mo zhu gong qia
2430,xi zang,chang du,qia ruo
2431,xi zang,chang du,jiang da
2432,xi zang,chang du,gong jue
2433,xi zang,chang du,lei wu qi
2434,xi zang,chang du,ding qing
2435,xi zang,chang du,cha ya
2436,xi zang,chang du,ba su
2437,xi zang,chang du,zuo gong
2438,xi zang,chang du,mang kang
2439,xi zang,chang du,luo long
2440,xi zang,chang du,bian ba
2441,xi zang,shan nan di,nai dong
2442,xi zang,shan nan di,zha nang
2443,xi zang,shan nan di,gong ga
2444,xi zang,shan nan di,sang ri
2445,xi zang,shan nan di,qiong jie
2446,xi zang,shan nan di,qu song
2447,xi zang,shan nan di,cuo mei
2448,xi zang,shan nan di,luo zha
2449,xi zang,shan nan di,jia cha
2450,xi zang,shan nan di,long zi
2451,xi zang,shan nan di,cuo na
2452,xi zang,shan nan di,lang qia zi
2453,xi zang,ri ka ze,sang zhu zi
2454,xi zang,ri ka ze,nan mu lin
2455,xi zang,ri ka ze,jiang zi
2456,xi zang,ri ka ze,ding ri
2457,xi zang,ri ka ze,sa jia
2458,xi zang,ri ka ze,la zi
2459,xi zang,ri ka ze,ang ren
2460,xi zang,ri ka ze,xie tong men
2461,xi zang,ri ka ze,bai lang
2462,xi zang,ri ka ze,ren bu
2463,xi zang,ri ka ze,kang ma
2464,xi zang,ri ka ze,ding jie
2465,xi zang,ri ka ze,zhong ba
2466,xi zang,ri ka ze,ya dong
2467,xi zang,ri ka ze,ji long
2468,xi zang,ri ka ze,nie la mu
2469,xi zang,ri ka ze,sa ga
2470,xi zang,ri ka ze,gang ba
2471,xi zang,na qu di,na qu
2472,xi zang,na qu di,jia li
2473,xi zang,na qu di,bi ru
2474,xi zang,na qu di,nie rong
2475,xi zang,na qu di,an duo
2476,xi zang,na qu di,shen zha
2477,xi zang,na qu di,suo
2478,xi zang,na qu di,ban ge
2479,xi zang,na qu di,shuang hu
2480,xi zang,na qu di,ba qing
2481,xi zang,na qu di,ni ma
2482,xi zang,a li di,pu lan
2483,xi zang,a li di,zha da
2484,xi zang,a li di,ge er
2485,xi zang,a li di,ri tu
2486,xi zang,a li di,ge ji
2487,xi zang,a li di,gai ze
2488,xi zang,a li di,cuo qin
2489,xi zang,lin zhi di,lin zhi
2490,xi zang,lin zhi di,gong bu jiang da
2491,xi zang,lin zhi di,mi lin
2492,xi zang,lin zhi di,mo tuo
2493,xi zang,lin zhi di,bo mi
2494,xi zang,lin zhi di,cha yu
2495,xi zang,lin zhi di,lang
2496,shan xi,xi an,xin cheng
2497,shan xi,xi an,bei lin
2498,shan xi,xi an,lian hu
2499,shan xi,xi an,ba qiao
2500,shan xi,xi an,wei yang
2501,shan xi,xi an,yan ta
2502,shan xi,xi an,yan liang
2503,shan xi,xi an,lin tong
2504,shan xi,xi an,chang an
2505,shan xi,xi an,gao ling
2506,shan xi,xi an,hu yi
2507,shan xi,xi an,zhou zhi
2508,shan xi,xi an,lan tian
2509,shan xi,tong chuan,wang yi
2510,shan xi,tong chuan,yin tai
2511,shan xi,tong chuan,yao zhou
2512,shan xi,tong chuan,yi jun
2513,shan xi,bao ji,wei bin
2514,shan xi,bao ji,jin tai
2515,shan xi,bao ji,chen cang
2516,shan xi,bao ji,feng xiang
2517,shan xi,bao ji,qi shan
2518,shan xi,bao ji,fu feng
2519,shan xi,bao ji,mei
2520,shan xi,bao ji,long
2521,shan xi,bao ji,qian yang
2522,shan xi,bao ji,lin you
2523,shan xi,bao ji,feng
2524,shan xi,bao ji,tai bai
2525,shan xi,xian yang,qin du
2526,shan xi,xian yang,yang ling
2527,shan xi,xian yang,wei cheng
2528,shan xi,xian yang,san yuan
2529,shan xi,xian yang,jing yang
2530,shan xi,xian yang,gan
2531,shan xi,xian yang,li quan
2532,shan xi,xian yang,yong shou
2533,shan xi,xian yang,bin
2534,shan xi,xian yang,chang wu
2535,shan xi,xian yang,xun yi
2536,shan xi,xian yang,chun hua
2537,shan xi,xian yang,wu gong
2538,shan xi,xian yang,xing ping
2539,shan xi,wei nan,lin wei
2540,shan xi,wei nan,hua zhou
2541,shan xi,wei nan,tong guan
2542,shan xi,wei nan,da li
2543,shan xi,wei nan,he yang
2544,shan xi,wei nan,cheng cheng
2545,shan xi,wei nan,pu cheng
2546,shan xi,wei nan,bai shui
2547,shan xi,wei nan,fu ping
2548,shan xi,wei nan,han cheng
2549,shan xi,wei nan,hua yin
2550,shan xi,yan an,bao ta
2551,shan xi,yan an,an sai
2552,shan xi,yan an,yan chang
2553,shan xi,yan an,yan chuan
2554,shan xi,yan an,zi chang
2555,shan xi,yan an,zhi dan
2556,shan xi,yan an,wu
2557,shan xi,yan an,gan quan
2558,shan xi,yan an,fu
2559,shan xi,yan an,luo chuan
2560,shan xi,yan an,yi chuan
2561,shan xi,yan an,huang long
2562,shan xi,yan an,huang ling
2563,shan xi,han zhong,han tai
2564,shan xi,han zhong,nan zheng
2565,shan xi,han zhong,cheng gu
2566,shan xi,han zhong,yang
2567,shan xi,han zhong,xi xiang
2568,shan xi,han zhong,mian
2569,shan xi,han zhong,ning qiang
2570,shan xi,han zhong,lve yang
2571,shan xi,han zhong,zhen ba
2572,shan xi,han zhong,liu ba
2573,shan xi,han zhong,fo ping
2574,shan xi,an kang,han bin
2575,shan xi,an kang,han yin
2576,shan xi,an kang,shi quan
2577,shan xi,an kang,ning shan
2578,shan xi,an kang,zi yang
2579,shan xi,an kang,lan gao
2580,shan xi,an kang,ping li
2581,shan xi,an kang,zhen ping
2582,shan xi,an kang,xun yang
2583,shan xi,an kang,bai he
2584,shan xi,shang luo,shang zhou
2585,shan xi,shang luo,luo nan
2586,shan xi,shang luo,dan feng
2587,shan xi,shang luo,shang nan
2588,shan xi,shang luo,shan yang
2589,shan xi,shang luo,zhen an
2590,shan xi,shang luo,zuo shui
2591,shan xi,yu lin,yu yang
2592,shan xi,yu lin,heng shan
2593,shan xi,yu lin,shen mu
2594,shan xi,yu lin,fu gu
2595,shan xi,yu lin,jing bian
2596,shan xi,yu lin,ding bian
2597,shan xi,yu lin,sui de
2598,shan xi,yu lin,mi zhi
2599,shan xi,yu lin,jia
2600,shan xi,yu lin,wu bao
2601,shan xi,yu lin,qing jian
2602,shan xi,yu lin,zi zhou
2603,gan su,lan zhou,cheng guan
2604,gan su,lan zhou,qi li he
2605,gan su,lan zhou,xi gu
2606,gan su,lan zhou,an ning
2607,gan su,lan zhou,hong gu
2608,gan su,lan zhou,yong deng
2609,gan su,lan zhou,gao lan
2610,gan su,lan zhou,yu zhong
2611,gan su,jia yu guan,jia yu guan
2612,gan su,jin chang,jin chuan
2613,gan su,jin chang,yong chang
2614,gan su,bai yin,bai yin
2615,gan su,bai yin,ping chuan
2616,gan su,bai yin,jing yuan
2617,gan su,bai yin,hui ning
2618,gan su,bai yin,jing tai
2619,gan su,tian shui,qin zhou
2620,gan su,tian shui,mai ji
2621,gan su,tian shui,qing shui
2622,gan su,tian shui,qin an
2623,gan su,tian shui,gan gu
2624,gan su,tian shui,wu shan
2625,gan su,tian shui,zhang jia chuan hui
2626,gan su,jiu quan,su zhou
2627,gan su,jiu quan,yu men
2628,gan su,jiu quan,dun huang
2629,gan su,jiu quan,jin ta
2630,gan su,jiu quan,su bei meng gu
2631,gan su,jiu quan,a ke sai ha sa ke
2632,gan su,jiu quan,an xi
2633,gan su,zhang ye,gan zhou
2634,gan su,zhang ye,su nan yu gu
2635,gan su,zhang ye,min le
2636,gan su,zhang ye,lin ze
2637,gan su,zhang ye,gao tai
2638,gan su,zhang ye,shan dan
2639,gan su,wu wei,liang zhou
2640,gan su,wu wei,min qin
2641,gan su,wu wei,gu lang
2642,gan su,wu wei,tian zhu cang
2643,gan su,ding xi,an ding
2644,gan su,ding xi,tong wei
2645,gan su,ding xi,long xi
2646,gan su,ding xi,wei yuan
2647,gan su,ding xi,lin tao
2648,gan su,ding xi,zhang
2649,gan su,ding xi,min
2650,gan su,long nan,wu du
2651,gan su,long nan,dang chang
2652,gan su,long nan,cheng
2653,gan su,long nan,kang
2654,gan su,long nan,wen
2655,gan su,long nan,xi he
2656,gan su,long nan,li
2657,gan su,long nan,liang dang
2658,gan su,long nan,hui
2659,gan su,ping liang,kong tong
2660,gan su,ping liang,jing chuan
2661,gan su,ping liang,ling tai
2662,gan su,ping liang,chong xin
2663,gan su,ping liang,hua ting
2664,gan su,ping liang,zhuang lang
2665,gan su,ping liang,jing ning
2666,gan su,qing yang,xi feng
2667,gan su,qing yang,qing cheng
2668,gan su,qing yang,huan
2669,gan su,qing yang,hua chi
2670,gan su,qing yang,he shui
2671,gan su,qing yang,zheng ning
2672,gan su,qing yang,ning
2673,gan su,qing yang,zhen yuan
2674,gan su,lin xia hui,lin xia
2675,gan su,lin xia hui,lin xia
2676,gan su,lin xia hui,kang le
2677,gan su,lin xia hui,yong jing
2678,gan su,lin xia hui,guang he
2679,gan su,lin xia hui,he zheng
2680,gan su,lin xia hui,dong xiang
2681,gan su,lin xia hui,ji shi shan bao an dong xiang sa la
2682,gan su,gan nan cang,he zuo
2683,gan su,gan nan cang,lin tan
2684,gan su,gan nan cang,zhuo ni
2685,gan su,gan nan cang,zhou qu
2686,gan su,gan nan cang,die bu
2687,gan su,gan nan cang,ma qu
2688,gan su,gan nan cang,lu qu
2689,gan su,gan nan cang,xia he
2690,qing hai,xi ning,cheng dong
2691,qing hai,xi ning,cheng zhong
2692,qing hai,xi ning,cheng xi
2693,qing hai,xi ning,cheng bei
2694,qing hai,xi ning,huang zhong
2695,qing hai,xi ning,huang yuan
2696,qing hai,xi ning,da tong hui tu
2697,qing hai,hai dong,le du
2698,qing hai,hai dong,ping an
2699,qing hai,hai dong,min he hui tu
2700,qing hai,hai dong,hu zhu tu
2701,qing hai,hai dong,hua long hui
2702,qing hai,hai dong,xun hua sa la
2703,qing hai,hai bei cang,men yuan hui
2704,qing hai,hai bei cang,qi lian
2705,qing hai,hai bei cang,hai yan
2706,qing hai,hai bei cang,gang cha
2707,qing hai,huang nan cang,tong ren
2708,qing hai,huang nan cang,jian zha
2709,qing hai,huang nan cang,ze ku
2710,qing hai,huang nan cang,he nan meng gu
2711,qing hai,hai nan cang,gong he
2712,qing hai,hai nan cang,tong de
2713,qing hai,hai nan cang,gui de
2714,qing hai,hai nan cang,xing hai
2715,qing hai,hai nan cang,gui nan
2716,qing hai,guo luo cang,ma qin
2717,qing hai,guo luo cang,ban ma
2718,qing hai,guo luo cang,gan de
2719,qing hai,guo luo cang,da ri
2720,qing hai,guo luo cang,jiu zhi
2721,qing hai,guo luo cang,ma duo
2722,qing hai,yu shu cang,yu shu
2723,qing hai,yu shu cang,za duo
2724,qing hai,yu shu cang,cheng duo
2725,qing hai,yu shu cang,zhi duo
2726,qing hai,yu shu cang,nang qian
2727,qing hai,yu shu cang,qu ma lai
2728,qing hai,hai xi meng gu cang,ge er mu
2729,qing hai,hai xi meng gu cang,de ling ha
2730,qing hai,hai xi meng gu cang,wu lan
2731,qing hai,hai xi meng gu cang,du lan
2732,qing hai,hai xi meng gu cang,tian jun
2733,ning xia,yin chuan,xing qing
2734,ning xia,yin chuan,xi xia
2735,ning xia,yin chuan,jin feng
2736,ning xia,yin chuan,yong ning
2737,ning xia,yin chuan,he lan
2738,ning xia,yin chuan,ling wu
2739,ning xia,shi zui shan,da wu kou
2740,ning xia,shi zui shan,hui nong
2741,ning xia,shi zui shan,ping luo
2742,ning xia,wu zhong,li tong
2743,ning xia,wu zhong,hong si bao
2744,ning xia,wu zhong,yan chi
2745,ning xia,wu zhong,tong xin
2746,ning xia,wu zhong,qing tong xia
2747,ning xia,gu yuan,yuan zhou
2748,ning xia,gu yuan,xi ji
2749,ning xia,gu yuan,long de
2750,ning xia,gu yuan,jing yuan
2751,ning xia,gu yuan,peng yang
2752,ning xia,zhong wei,sha po tou
2753,ning xia,zhong wei,zhong ning
2754,ning xia,zhong wei,hai yuan
2755,xin jiang,wu lu mu qi,tian shan
2756,xin jiang,wu lu mu qi,sha yi ba ke
2757,xin jiang,wu lu mu qi,xin
2758,xin jiang,wu lu mu qi,shui mo gou
2759,xin jiang,wu lu mu qi,tou tun he
2760,xin jiang,wu lu mu qi,nan shan kuang
2761,xin jiang,wu lu mu qi,dong shan
2762,xin jiang,wu lu mu qi,wu lu mu qi
2763,xin jiang,ke la ma yi,du shan zi
2764,xin jiang,ke la ma yi,ke la ma yi
2765,xin jiang,ke la ma yi,bai jian tan
2766,xin jiang,ke la ma yi,wu er he
2767,xin jiang,tu lu fan di,tu lu fan
2768,xin jiang,tu lu fan di,shan shan
2769,xin jiang,tu lu fan di,tuo ke xun
2770,xin jiang,ha mi di,ha mi
2771,xin jiang,ha mi di,ba li kun ha sa ke
2772,xin jiang,ha mi di,yi wu
2773,xin jiang,chang ji hui,chang ji
2774,xin jiang,chang ji hui,fu kang
2775,xin jiang,chang ji hui,hu tu bi
2776,xin jiang,chang ji hui,ma na si
2777,xin jiang,chang ji hui,qi tai
2778,xin jiang,chang ji hui,ji mu sa er
2779,xin jiang,chang ji hui,mu lei ha sa ke
2780,xin jiang,bo er ta la meng gu,a la shan kou
2781,xin jiang,bo er ta la meng gu,bo le
2782,xin jiang,bo er ta la meng gu,jing he
2783,xin jiang,bo er ta la meng gu,wen quan
2784,xin jiang,ba yin guo leng meng gu,ku er le
2785,xin jiang,ba yin guo leng meng gu,lun tai
2786,xin jiang,ba yin guo leng meng gu,wei li
2787,xin jiang,ba yin guo leng meng gu,ruo qiang
2788,xin jiang,ba yin guo leng meng gu,qie mo
2789,xin jiang,ba yin guo leng meng gu,yan qi hui
2790,xin jiang,ba yin guo leng meng gu,he jing
2791,xin jiang,ba yin guo leng meng gu,he shuo
2792,xin jiang,ba yin guo leng meng gu,bo hu
2793,xin jiang,a ke su di,a ke su
2794,xin jiang,a ke su di,wen su
2795,xin jiang,a ke su di,ku che
2796,xin jiang,a ke su di,sha ya
2797,xin jiang,a ke su di,xin he
2798,xin jiang,a ke su di,bai cheng
2799,xin jiang,a ke su di,wu shi
2800,xin jiang,a ke su di,a wa ti
2801,xin jiang,a ke su di,ke ping
2802,xin jiang,ke zi le su ke er ke zi,a tu shi
2803,xin jiang,ke zi le su ke er ke zi,a ke tao
2804,xin jiang,ke zi le su ke er ke zi,a he qi
2805,xin jiang,ke zi le su ke er ke zi,wu qia
2806,xin jiang,ka shi di,ka shi
2807,xin jiang,ka shi di,shu fu
2808,xin jiang,ka shi di,shu le
2809,xin jiang,ka shi di,ying ji sha
2810,xin jiang,ka shi di,ze pu
2811,xin jiang,ka shi di,sha che
2812,xin jiang,ka shi di,ye cheng
2813,xin jiang,ka shi di,mai gai ti
2814,xin jiang,ka shi di,yue pu hu
2815,xin jiang,ka shi di,qie shi
2816,xin jiang,ka shi di,ba chu
