s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,indzone,township,basiclvl,streetnames,name1,name2,matched_names,matched_addr,matched_countycode,Match Accuracy,Notes
HUZHPL,2009,HUIZHOU ZHENHAO PLASTICS PRODUCTS CO LTD,HUIZHOU ZHENHAO PLASTICS PRODUCTS CO LTD,-,"HUI-AO BOULEVARD, HUIYANG ECONOMIC, DEVELOPMENT ZONE, HUIYANG DISTRICT, ,",NA,NA,10/17/08,"hui-ao boulevard, huiyang economic, development zone, huiyang district, ,",huizhou zhenhao plastics products co ltd,huizhou zhenhao plastics products co ltd,guangdong,huizhou,huiyang,NA,NA,NA,NA,NA,huizhou zhenhao plastics,zhenhao,惠州震浩塑胶制品有限公司,拾围村,4.41e+11,T,
HUZHXI,2009,"HUI ZHOU XIN AN GARMENT MANUFACTORY, LIMITED","HUI ZHOU XIN AN GARMENT MANUFACTORY, LIMITED",NA,"1A & 3/F., Zone 8 Unit 2 Song Shan Industrial Park, Zhong Kai High-Tech Development Zone, ,",NA,NA,2007-03-07,"1a & 3/f., zone 8 unit 2 song shan industrial park, zhong kai high-tech development zone, ,","hui zhou xin an garment manufactory, limited","hui zhou xin an garment manufactory, limited",guangdong,huizhou,NA,"c(""1"", ""3"", ""8"", ""2"")",songshan,NA,NA,NA,hui zhou xin an garment manufactory,xinan,惠州新安制衣厂有限公司,平南工业区48号小区,4.41e+11,T,
JIMICO,2009,"JIANGMEN MINGZHU HARDWARE CO., LTD.","JIANGMEN MINGZHU HARDWARE CO., LTD.",-,"QIANFENG INDUSTRIAL PARK, SIQIAN TOWN XINHU DISTRICT, JIANGMEN CITY, GUANGDONG PROVINCE,",NA,NA,2009-04-09,"qianfeng industrial park, siqian town xinhu district, jiangmen city, guangdong province,","jiangmen mingzhu hardware co., ltd.","jiangmen mingzhu hardware co., ltd.",guangdong,jiangmen,NA,NA,qianfeng,siqian,NA,NA,jiangmen mingzhu hardware,mingzhu,江门市新会区明珠五金制品有限公司,永建路,4.41e+11,T,Typo in English
JIYIZH,2009,JIN YI ZHONG SHAN GARMENT FACTORY,JIN YI ZHONG SHAN GARMENT FACTORY,NA,"NO. 2 SHEN YE ROAD, JIN WAN INDUSTRIAL AREA, XIN XU, SAN XIAN TOWN,",NA,NA,2001-12-09,"no. 2 shen ye road, jin wan industrial area, xin xu, san xian town,",jin yi zhong shan garment factory,jin yi zhong shan garment factory,guangdong,zhongshan,NA,2,jinwan,san xian,NA,shenye,jin yi zhong shan garment,jinyi,中山市晋溢制衣有限公司,新圩金湾工业区盛业路2号,4.42E+11,T,
KAMFEN,2009,KAM FENG PLASTIC PRODUCTS FACTORY,KAM FENG PLASTIC PRODUCTS FACTORY,NA,"NO 1, SHENG PING ROAD, XIAO LAN TOWN, ZHONG SHAN CITY,GUANGDONG, CHINA",NA,NA,4/24/09,"no 1, sheng ping road, xiao lan town, zhong shan city,guangdong, china",kam feng plastic products factory,kam feng plastic products factory,guangdong,zhongshan,zhongshan,1,NA,xiao lan,NA,shengping,kam feng plastic,kamfeng,中山市小榄镇锦丰橡胶塑料制品厂,升平路1号,4.42E+11,T,Cautious
KAMSZE,2009,KAM SZE FAT INTERNATIONAL LTD.,KAM SZE FAT INTERNATIONAL LTD.,-,"NO.8 XIN HE STREET, BAN TIAN HE TANG GUANG VILLAGE, BAN TIAN ZONE, LONG GONG DISTRICT, SHENZHEN CITY, GUANGDONG PROVINCE",NA,NA,12/14/05,"no.8 xin he street, ban tian he tang guang village, ban tian zone, long gong district, shenzhen city, guangdong province",kam sze fat international ltd.,kam sze fat international ltd.,guangdong,shenzhen,NA,8,NA,NA,bantianhetangguang,xinhe,kam sze fat,kamszefat,金时发玩具（深圳）有限公司,上木古新河路48号标马工业园,4.40E+11,T,MM
LANGRE,2009,"LANEE GREAT PLASTIC (SHENZHEN) CO.,LTD","LANEE GREAT PLASTIC (SHENZHEN) CO.,LTD",-,"NO 8 QI XIN ROAD, WU LIAN COUNTY, LONG GANG TOWN, LONG GANG DIST, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,6/27/08,"no 8 qi xin road, wu lian county, long gang town, long gang dist, shenzhen city, guangdong province,","lanee great plastic (shenzhen) co.,ltd","lanee great plastic (shenzhen) co.,ltd",guangdong,shenzhen,longgang,8,NA,long gang,NA,qixin,lanee great plastic,laneegreat,岚鸿塑胶（深圳）有限公司,五联齐心路8号,4.4e+11,T,Cautious
LICHIW,2009,LI CHI WOOLEN WEAVING FACTORY (CHINA - S1),LI CHI WOOLEN WEAVING FACTORY (CHINA - S1),NA,"NO. 1, LIQI ROAD, DONGHU VILLAGE, DUOZHU TOWN, HUIDONG COUNTRY, ,",NA,NA,6/2/00,"no. 1, liqi road, donghu village, duozhu town, huidong country, ,",li chi woolen weaving factory (china - s1),li chi woolen weaving factory (china - s1),guangdong,huizhou,huidong,1,NA,duozhu,donghu,liqi,li chi woolen weaving,lichi,惠东县多祝镇礼旗毛织厂,礼旗路1号,4.41e+11,T,
LIUGLA,2009,LIU BAO GLASS MANUFACTURING COMPANY LTD.,LIU BAO GLASS MANUFACTURING COMPANY LTD.,-,"44 QIAN FENG ROAD SHIJI TOWN, PANYU DISTRICT, GUANGZHOU CITY,",NA,NA,4/23/09,"44 qian feng road shiji town, panyu district, guangzhou city,",liu bao glass manufacturing company ltd.,liu bao glass manufacturing company ltd.,guangdong,guangzhou,panyu,44,NA,qian feng road shiji,NA,qianfeng,liu bao glass,liubao,广州市番禺六堡玻璃工艺制品有限公司,石基村前锋北路44号,4.4e+11,T,
LIXGAR,2009,"LIXIN GARMENT CO., LTD. OF SHUNDE","LIXIN GARMENT CO., LTD. OF SHUNDE",NA,"NO.8 XINFA ROAD, RONGGUI HIGH &, NEW TECHNBOLOGICAL DEVELOPMENT ZONE, SHUNDE,",NA,NA,6/14/04,"no.8 xinfa road, ronggui high &, new technbological development zone, shunde,","lixin garment co., ltd. of shunde","lixin garment co., ltd. of shunde",guangdong,foshan,shunde,8,NA,NA,NA,xinfa,lixin garment   of shunde,lixinshunde,佛山市顺德区立信制衣有限公司,高新区新发路8号,4.41E+11,T,MM
