s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,indzone,township,basiclvl,streetnames,name1,name2,matched_names,matched_addr,matched_countycode,Match Accuracy,Notes
KEYSHA,2009,"KEYSHEEN INDUSTRY (SHANGHAI) CO., LTD","KEYSHEEN INDUSTRY (SHANGHAI) CO., LTD",NA,"707, SONGHUA ROAD, QINGPU INDUSTRIAL ZONE, SHANGHAI, CHINA,",NA,NA,2011-11-08,"707, songhua road, qingpu industrial zone, shanghai, china,","keysheen industry (shanghai) co., ltd","keysheen industry (shanghai) co., ltd",shanghai,shanghai,qingpu,707,qingpu,NA,NA,songhua,keysheen,keysheen,基胜工业(上海)有限公司,上海市青浦工业园区崧华路707号,3.1e+11,T,
LILFAS,2009,"LILAN FASHION ACCESSORIES MANUFACTURES (SHANGHAI) CO., LTD.","LILAN FASHION ACCESSORIES MANUFACTURES (SHANGHAI) CO., LTD.",NA,"4858 HUTAI ROAD, BAOSHAN, ,",NA,NA,10/14/03,"4858 hutai road, baoshan, ,","lilan fashion accessories manufactures (shanghai) co., ltd.","lilan fashion accessories manufactures (shanghai) co., ltd.",shanghai,shanghai,baoshan,4858,NA,NA,NA,hutai,lilan fashion  manufactures,lilanmanufactures,利澜服饰制品(上海)有限公司,沪太路4858号,3.1e+11,T,
ROYSHA,2009,"ROY-NE (SHANGHAI) CO., LTD. - CHINA","ROY-NE (SHANGHAI) CO., LTD. - CHINA",NA,"15 XING GUI ROAD, XINGTA TOWN JINSHA DISTRICT, SHANGHAI,",NA,NA,2005-11-07,"15 xing gui road, xingta town jinsha district, shanghai,","roy-ne (shanghai) co., ltd. - china","roy-ne (shanghai) co., ltd. - china",shanghai,shanghai,NA,15,NA,xingta,NA,xinggui,royne,royne,上海璐衣娜时装有限公司,上海市金山区枫泾镇兴桂路15号,3.1e+11,T,Cautious
SFLCS1,2009,"SHANGHAI FU LIN GARMENT CO., LTD (CHINA - S1)","SHANGHAI FU LIN GARMENT CO., LTD (CHINA - S1)",NA,"NO. 4608, BEISONG ROAD, SONGJIANG DISTRICT, , ,",NA,NA,2003-03-03,"no. 4608, beisong road, songjiang district, , ,","shanghai fu lin garment co., ltd (china - s1)","shanghai fu lin garment co., ltd (china - s1)",shanghai,shanghai,songjiang,4608,NA,NA,NA,beisong,shanghai fu lin garment,fulin,上海富琳制衣有限公司,松江区车墩镇北松公路4608号,3.1e+11,T,
SHABAL,2009,"SHANGHAI BALLOON PLASTIC PRODUCTS CO., LTD.","SHANGHAI BALLOON PLASTIC PRODUCTS CO., LTD.",-,"NO. 1185, YONGXIN RD., XUHANG TOWN, JIADING DISTRICT, SHANGHAI, 201808, CHINA,",NA,NA,10/31/05,"no. 1185, yongxin rd., xuhang town, jiading district, shanghai, 201808, china,","shanghai balloon plastic products co., ltd.","shanghai balloon plastic products co., ltd.",shanghai,shanghai,jiading,1185,NA,xuhang,NA,yongxin,shanghai balloon plastic,balloon,上海保龙塑胶制品有限公司,上海市嘉定区徐行镇永新路1185号,3.1e+11,T,
SHACH1,2009,"SHANGHAI HAILI TOYS CO., LTD. (CHINA - H1)","SHANGHAI HAILI TOYS CO., LTD. (CHINA - H1)",NA,"NO.1 ZHENYE RD, DONGJING TOWN, SONGJIANG DISTRICT, , ,",NA,NA,10/30/01,"no.1 zhenye rd, dongjing town, songjiang district, , ,","shanghai haili toys co., ltd. (china - h1)","shanghai haili toys co., ltd. (china - h1)",shanghai,shanghai,songjiang,1,NA,dongjing,NA,zhenye,shanghai haili toys,haili,上海海利玩具有限公司,松江区洞泾镇振业路1号,3.1e+11,T,
SHAETT,2009,"SHANGHAI E-TOP TEXTILE CO., LTD.","SHANGHAI E-TOP TEXTILE CO., LTD.",上海依拓纺织有限公司,"5505, NANTING ROAD, TINGLIN INDUSTRIAL PARK, JINSHAN DISTRICT, ,",NA,NA,2/28/08,"5505, nanting road, tinglin industrial park, jinshan district, ,","shanghai e-top textile co., ltd.","shanghai e-top textile co., ltd.",shanghai,shanghai,jinshan,5505,tinglin,NA,NA,nanting,shanghai etop textile,etop,上海依拓纺织有限公司,上海市金山区亭林镇南亭公路5505号,3.1e+11,T,E
SHAFEA,2009,"SHANGHAI DONGLONG FEATHER MANUFACTURE CO., LTD","SHANGHAI DONGLONG FEATHER MANUFACTURE CO., LTD",NA,"NO. 288, SHANGZHOU ROAD, SHANGTA TOWN, QINGPU, ,",NA,NA,1/25/08,"no. 288, shangzhou road, shangta town, qingpu, ,","shanghai donglong feather manufacture co., ltd","shanghai donglong feather manufacture co., ltd",shanghai,shanghai,qingpu,288,NA,shangta,NA,shangzhou,shanghai donglong feather manufacture,donglong,上海东隆羽绒制品有限公司,金泽镇商周路288号,3.1e+11,T,
SHAHEF,2009,SHANGHAI HEFU KNITTING FACTORY,SHANGHAI HEFU KNITTING FACTORY,NA,"1368, JIANGXIN ROAD, LV SAN CUN VILLAGE, TANZHEN TOWN, PUDONG DISTRICT, ,",NA,NA,2004-03-06,"1368, jiangxin road, lv san cun village, tanzhen town, pudong district, ,",shanghai hefu knitting factory,shanghai hefu knitting factory,shanghai,shanghai,pudong,1368,NA,tanzhen,lvsancun,jiangxin,shanghai hefu knitting,hefu,上海禾馥织造有限公司,浦东新区江欣路1368号,3.1e+11,T,
SHAJIO,2009,SHANGHAI JIONGLONG INT TRADE CO.LTD,SHANGHAI JIONGLONG INT TRADE CO.LTD,NA,"NO 5699 CHUANZHOU ROAD, PUDONG, SHANGHAI, CHINA, ,",NA,NA,11/14/09,"no 5699 chuanzhou road, pudong, shanghai, china, ,",shanghai jionglong int trade co.ltd,shanghai jionglong int trade co.ltd,shanghai,shanghai,pudong,5699,NA,NA,NA,chuanzhou,shanghai jionglong int trade,jionglongint,上海炯龙玩具有限公司,浦东新区川沙新镇川周公路5699号第六幢,3.1e+11,T,
SHAMIG,2009,"SHANGHAI MINGO GARMENT CO.,LTD","SHANGHAI MINGO GARMENT CO.,LTD",NA,"NO.1698, ZHAOCHONG ROAD, CHONGGU TOWN, QINGPU DIST, ,",NA,NA,9/28/06,"no.1698, zhaochong road, chonggu town, qingpu dist, ,","shanghai mingo garment co.,ltd","shanghai mingo garment co.,ltd",shanghai,shanghai,qingpu,1698,NA,chonggu,NA,zhaochong,shanghai mingo garment,mingo,上海铭固制衣有限公司,重固镇赵重公路1698号,3.1e+11,T,
SHANEW,2009,"SHANGHAI NEWEST LUGGAGE CO., LTD.","SHANGHAI NEWEST LUGGAGE CO., LTD.",NA,"NO.3168 TINGFENG RD.,ZHUJING,SHANGHAI CHINA, , ,",NA,NA,2007-04-08,"no.3168 tingfeng rd.,zhujing,shanghai china, , ,","shanghai newest luggage co., ltd.","shanghai newest luggage co., ltd.",shanghai,shanghai,NA,3168,NA,NA,NA,tingfeng,shanghai newest luggage,newest,上海顶新箱包有限公司,上海市金山区朱泾镇亭枫公路3168号,3.1e+11,T,E
SHANQX,2009,SHANGHAI QIN XU PLASTIC PRODUCTS CO. LTD.,SHANGHAI QIN XU PLASTIC PRODUCTS CO. LTD.,NA,"NO.5151,DONGCHUAN RD,HEQING TOWN, PUDONG NEW AREA, ,",NA,NA,2012-09-02,"no.5151,dongchuan rd,heqing town, pudong new area, ,",shanghai qin xu plastic products co. ltd.,shanghai qin xu plastic products co. ltd.,shanghai,shanghai,pudong,5151,NA,heqing,NA,dongchuan,shanghai qin xu plastic,qinxu,上海庆翊塑胶制品有限公司,浦东新区东川公路5151号,3.10E+11,L,Maybe the English name is wrong due to iliteracy
SHANYI,2009,"SHANGHAI YIHUA INDUSTRY CO., LTD.","SHANGHAI YIHUA INDUSTRY CO., LTD.",NA,"NO 7000 CAOLANG ROAD LANGXIA, JINSHAN DISTRICT, ,",NA,NA,4/22/04,"no 7000 caolang road langxia, jinshan district, ,","shanghai yihua industry co., ltd.","shanghai yihua industry co., ltd.",shanghai,shanghai,jinshan,7000,NA,NA,NA,caolang,shanghai yihua,yihua,上海宜华实业有限公司,上海市金山区廊下镇漕廊公路7000号,3.1e+11,T,
SHAONE,2009,"SHANGHAI ONE JOINT FOOTWEAR CO.,LTD","SHANGHAI ONE JOINT FOOTWEAR CO.,LTD",NA,"NO.2506 NANFENG ROAD ,QING CUN TOWN, FENGXIAN DISTRICT ,SHANGHAI, ,",NA,NA,9/23/09,"no.2506 nanfeng road ,qing cun town, fengxian district ,shanghai, ,","shanghai one joint footwear co.,ltd","shanghai one joint footwear co.,ltd",shanghai,shanghai,fengxian,2506,NA,qing cun,NA,nanfeng,shanghai one joint footwear,onejoint,上海雯杰鞋业有限公司,上海市奉贤区青村镇南奉公路2506号,3.1e+11,T,
SHAPOL,2009,"SHANGHAI POLAR BEAR STATIONERY ADHESIVE TAPE CO., LTD.","SHANGHAI POLAR BEAR STATIONERY ADHESIVE TAPE CO., LTD.",NA,"NO. 2099, LAI FANG ROAD, JIU TING, SONG JIANG DISTRICT, ,",NA,NA,2003-05-08,"no. 2099, lai fang road, jiu ting, song jiang district, ,","shanghai polar bear stationery adhesive tape co., ltd.","shanghai polar bear stationery adhesive tape co., ltd.",shanghai,shanghai,songjiang,2099,NA,NA,NA,laifang,shanghai polar bear stationery adhesive tape,polarbear,上海北极熊文具胶带有限公司,松江区九亭镇高科技园区涞坊路2099号,3.1e+11,T,
SHAPRI,2009,SHANGHAI PRIMA  (CHINA - H1),SHANGHAI PRIMA  (CHINA - H1),NA,"NO.8, JIN XUAN RD, FENG XIAN DISTRICT, ,",NA,NA,4/25/01,"no.8, jin xuan rd, feng xian district, ,",shanghai prima  (china - h1),shanghai prima  (china - h1),shanghai,shanghai,fengxian,8,NA,NA,NA,jinxuan,shanghai prima,prima,上海立佳礼品有限公司,上海市奉贤区奉浦江海经济园区金轩路8号,3.1e+11,L,
SHASID,2009,"SHANGHAI SIDA SILK GARMENT CO., LTD.","SHANGHAI SIDA SILK GARMENT CO., LTD.",NA,"NO. 2799, SANLU RD, PUJIANG TOWN, MINHANG DIST, , ,",Garments,294,3/24/03,"no. 2799, sanlu rd, pujiang town, minhang dist, , ,","shanghai sida silk garment co., ltd.","shanghai sida silk garment co., ltd.",shanghai,shanghai,minhang,2799,NA,pujiang,NA,sanlu,shanghai sida silk garment,sida,上海四达丝绸服装有限公司,闵行区浦江镇三鲁路2799号,3.1e+11,T,
SHBAGA,2009,"SHANGHAI BAONIAO GARMENT CO., LTD","SHANGHAI BAONIAO GARMENT CO., LTD",NA,"NO. 631 JINXI ROAD, SONGJIANG DISTRICT, , ,","business suit,shirts",1856,2002-07-06,"no. 631 jinxi road, songjiang district, , ,","shanghai baoniao garment co., ltd","shanghai baoniao garment co., ltd",shanghai,shanghai,songjiang,631,NA,NA,NA,jinxi,shanghai baoniao garment,baoniao,上海宝鸟服饰有限公司,松江工业区锦昔路31号,3.1e+11,L,
SHCCS1,2009,"SHANGHAI CHANGJIANG CLOTHING ADORNMENT CO., LTD. (CHINA - 1)","SHANGHAI CHANGJIANG CLOTHING ADORNMENT CO., LTD. (CHINA - 1)",NA,"NO. 639 NORTH FANG TA RD, SONGJIANG DISTRICT, , ,",NA,NA,3/15/02,"no. 639 north fang ta rd, songjiang district, , ,","shanghai changjiang clothing adornment co., ltd. (china - 1)","shanghai changjiang clothing adornment co., ltd. (china - 1)",shanghai,shanghai,songjiang,639,NA,NA,NA,fangta,shanghai changjiang clothing adornment,changjiang,上海长江服饰有限公司,松江工业区方塔北路639号,3.1e+11,T,
SHCHFU,2009,"SHANGHAI CHOUQIN FURNITURE CO,LTD","SHANGHAI CHOUQIN FURNITURE CO,LTD",NA,"NO.1315 MINTA ROAD, SONGJIANG DISTRICT, SHANGHAI CITY,",NA,NA,5/17/07,"no.1315 minta road, songjiang district, shanghai city,","shanghai chouqin furniture co,ltd","shanghai chouqin furniture co,ltd",shanghai,shanghai,songjiang,1315,NA,NA,NA,minta,shanghai chouqin furniture,chouqin,上海酬勤家俱有限公司,松江区石湖荡镇闵塔路1315号,3.1e+11,T,
SHGACO,2009,"SHANGHAI C&K GARMENT CO., LTD (CHINA - 1)","SHANGHAI C&K GARMENT CO., LTD (CHINA - 1)",NA,"No.55 Heng Fei Road WaiGang Jiading Shanghia R.R.C, , ,",ladies garments,215,2012-09-04,"no.55 heng fei road waigang jiading shanghia r.r.c, , ,","shanghai c&k garment co., ltd (china - 1)","shanghai c&k garment co., ltd (china - 1)",shanghai,shanghai,jiading,55,NA,NA,NA,hengfei,shanghai ck garment,c&k,上海诚凯制衣有限公司,嘉定区外冈镇恒飞路55号,3.1e+11,T,
SHHAJI,2009,SHANG HAI JIN SE GARMENTS CO LTD,SHANG HAI JIN SE GARMENTS CO LTD,NA,"1986 HU HANG, HIGHWAY FENG XIAN, ,",NA,NA,2010-07-08,"1986 hu hang, highway feng xian, ,",shang hai jin se garments co ltd,shang hai jin se garments co ltd,shanghai,shanghai,NA,1986,NA,NA,NA,NA,shang hai jin se garments,jinse,上海锦瑟服饰有限公司,上海市奉贤区庄行镇沪杭公路1986号,3.1e+11,T,
SHHAKN,2009,SHANGHAI HAODA KNITTING FACTORY,SHANGHAI HAODA KNITTING GARMENT FACTORY,NA,"NO.3018 TING FENG ROAD, Jin Shan District, ,",NA,NA,7/29/08,"no.3018 ting feng road, jin shan district, ,",shanghai haoda knitting factory,shanghai haoda knitting garment factory,shanghai,shanghai,jinshan,3018,NA,NA,NA,tingfeng,shanghai haoda knitting,haoda,上海豪达针织服饰工艺品厂,上海市金山区朱泾镇亭枫公路3018号,3.1e+11,T,
SHHODY,2009,"SHANGHAI HOPE DYEING&PRINTING CO.,LTD","SHANGHAI HOPE DYEING&PRINTING CO.,LTD",NA,"NO.669,DONGTANG ROAD,PUDONG, , ,",NA,NA,1/14/09,"no.669,dongtang road,pudong, , ,","shanghai hope dyeing&printing co.,ltd","shanghai hope dyeing&printing co.,ltd",shanghai,shanghai,pudong,669,NA,NA,NA,dongtang,shanghai hope dyeingprinting,hopedyeingprinting,上海沪邦印染有限公司,浦东新区东塘路669号,3.1e+11,T,
SHJIFA,2009,"SHANGHAI JIANGZHEN SILK FASHION CO., LTD","SHANGHAI JIANGZHEN SILK FASHION CO., LTD",NA,"NO 1403, CHUANNANFENG RD, PUDONG DISTRICT, ,",NA,NA,5/13/04,"no 1403, chuannanfeng rd, pudong district, ,","shanghai jiangzhen silk fashion co., ltd","shanghai jiangzhen silk fashion co., ltd",shanghai,shanghai,pudong,1403,NA,NA,NA,chuannanfeng,shanghai jiangzhen silk fashion,jiangzhen,上海江镇丝绸时装有限公司,浦东新区川沙新镇川南奉公路1403号,3.1e+11,T,
SHJUME,2009,"SHANGHAI JUNCHEN METAL PRODUCT & HARDWARE CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"shanghai junchen metal product & hardware co., ltd.",NA,shanghai,shanghai,NA,NA,NA,NA,NA,NA,shanghai junchen metal   hardware,junchen,上海俊臣金属制品有限公司,奉贤区奉城镇奉粮路189号,3.1e+11,L,
SHKASH,2009,"SHANGHAI KANGPEER SHESHAN GARMENTS CO,. LTD.","SHANGHAI KANGPEER SHESHAN GARMENTS CO,. LTD.",NA,"NO.2, HEDONG ST, SHESHAN TOWN, SONG JIANG DIST, , ,",NA,NA,4/28/09,"no.2, hedong st, sheshan town, song jiang dist, , ,","shanghai kangpeer sheshan garments co,. ltd.","shanghai kangpeer sheshan garments co,. ltd.",shanghai,shanghai,songjiang,2,NA,sheshan,NA,hedong,shanghai kangpeer sheshan garments,kangpeersheshan,上海康培尔佘山服装有限公司,松江区佘山镇河东街2号,"3.1e+11,3.1e+11",T,MM: Found the correct ones and not sure how to fix
SHLIKN,2009,SHANGHAI LIANGPIN KNITWEAR FASHION LTD.,SHANGHAI LIANGPIN KNITWEAR FASHION LTD.,上海金山区新农经济区,"XIN NONG ECONOMY ZONE,JINSHAN DISTRICT, , ,",NA,NA,8/14/08,"xin nong economy zone,jinshan district, , ,",shanghai liangpin knitwear fashion ltd.,shanghai liangpin knitwear fashion ltd.,shanghai,shanghai,jinshan,NA,NA,NA,NA,NA,shanghai liangpin knitwear fashion,liangpin,上海良品针织时装有限公司,上海市金山区朱泾镇新农经济小区,3.1e+11,T,
SHMAPL,2009,SHANGHAI MASTER PLASTIC PRODUCTS CO. LTD.,SHANGHAI MASTER PLASTIC PRODUCTS CO. LTD.,NA,"No. 5189, Dongchuang Rd. Pudong, Shanghai, CHINA, ,",NA,NA,10/15/03,"no. 5189, dongchuang rd. pudong, shanghai, china, ,",shanghai master plastic products co. ltd.,shanghai master plastic products co. ltd.,shanghai,shanghai,pudong,5189,NA,NA,NA,dongchuang,shanghai master plastic,master,上海美欣塑胶制品有限公司,上海浦东新区合庆镇东川公路5189号,"3.1e+11,3.1e+11",L,"MM: Fixed but uncertain, english name does not make sense"
SHMECO,2009,"SHANGHAI MEILE TEXTILE CO., LTD","SHANGHAI MEILE TEXTILE CO., LTD",NA,"NO. 2201 CHETING ROAD, SONGJIANG DISTRICT, , ,",NA,NA,2/21/06,"no. 2201 cheting road, songjiang district, , ,","shanghai meile textile co., ltd","shanghai meile textile co., ltd",shanghai,shanghai,songjiang,2201,NA,NA,NA,cheting,shanghai meile textile,meile,上海美乐纺织有限公司,松江区叶榭镇车亭公路2201号,3.1e+11,T,
SHSECL,2009,"SHANGHAI SUPERMAN ELECTRIC CO., LTD.","SHANGHAI SUPERMAN ELECTRIC CO., LTD.",NA,"NO.9 XINTENG ROAD, XINQIAO TOWN, SONGJIANG DISTRICTION, SHANGHAI",NA,NA,2005-12-09,"no.9 xinteng road, xinqiao town, songjiang distriction, shanghai","shanghai superman electric co., ltd.","shanghai superman electric co., ltd.",shanghai,shanghai,songjiang,9,NA,xinqiao,NA,xinteng,shanghai superman electric,superman,上海超人电气有限公司,松江区新桥镇新腾路9号,3.1e+11,T,
SHTIKN,2009,"SHANGHAI TIANHONG KNITTING CO.,LTD","SHANGHAI TIANHONG KNITTING HAT CO.,LTD.",NA,"No.286,Tianjiu Road, Tianma mountain, Sheshan Town, Songjiang District, Shanghai., ,",NA,NA,2004-02-08,"no.286,tianjiu road, tianma mountain, sheshan town, songjiang district, shanghai., ,","shanghai tianhong knitting co.,ltd","shanghai tianhong knitting hat co.,ltd.",shanghai,shanghai,songjiang,286,NA,sheshan,NA,tianjiu,shanghai tianhong knitting,tianhong,上海天虹针织制帽有限公司,上海松江佘山天九路286号,3.1e+11,T,
SHUNTE,2009,SHANGHAI UNITED TEXTILE & GARMENTS,SHANGHAI UNITED TEXTILE & GARMENTS,NA,"NO.268 RUIXIANG ROAD, PUDONG NEW AREA, , ,",NA,NA,12/23/04,"no.268 ruixiang road, pudong new area, , ,",shanghai united textile & garments,shanghai united textile & garments,shanghai,shanghai,pudong,268,NA,NA,NA,ruixiang,shanghai united textile  garments,united,上海凯昌纺织制衣有限公司,浦东新区曹路镇瑞祥路268号,3.1e+11,T,http://ccn.mofcom.gov.cn/257134
SHXIPE,2009,"SHANGHAI XINJIAN PET PRODUCTS CO., LTD","SHANGHAI XINJIAN PET PRODUCTS CO., LTD",NA,"NO 559# FENGJIN RD, XIDU DEVELOPED ZONE, FENGXIAN DIST, SHANGHAI , CHINA,",NA,NA,2009-08-09,"no 559# fengjin rd, xidu developed zone, fengxian dist, shanghai , china,","shanghai xinjian pet products co., ltd","shanghai xinjian pet products co., ltd",shanghai,shanghai,fengxian,559,NA,NA,NA,fengjin,shanghai xinjian pet,xinjian,上海新建宠物用品有限公司,上海市奉贤区南桥镇西渡园区奉金路559号,3.1e+11,T,
SHYOEQ,2009,SHANGHAI YONGGUAN COMMERCIAL EQUIPMENT CO.LTD.,NA,NA,NA,NA,NA,NA,NA,shanghai yongguan commercial equipment co.ltd.,NA,shanghai,shanghai,NA,NA,NA,NA,NA,NA,shanghai yongguan commercial equipment,yongguan,上海永冠商业设备有限公司,崇明县向化镇卫星村永春6队,3.1e+11,L,
SHZHAP,2009,"SHANGHAI ZHONGKANG APPAREL CO.,LTD","SHANGHAI ZHONGKANG APPAREL CO.,LTD",NA,"NO.2728 GAOSHI ROAD ,TANGHANG TOWN, JIADING DISTRICT, ,",NA,NA,2005-04-07,"no.2728 gaoshi road ,tanghang town, jiading district, ,","shanghai zhongkang apparel co.,ltd","shanghai zhongkang apparel co.,ltd",shanghai,shanghai,jiading,2728,NA,tanghang,NA,gaoshi,shanghai zhongkang apparel,zhongkang,上海中康制衣有限公司,上海市嘉定区华亭镇高石公路2728号,3.1e+11,T,
SHZHGH,2009,"SHANGHAI ZHONGHAO GARMENT CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"shanghai zhonghao garment co., ltd.",NA,shanghai,shanghai,NA,NA,NA,NA,NA,NA,shanghai zhonghao garment,zhonghao,上海众豪服装有限公司,金山吕巷镇朱吕公路7308号,3.1e+11,L,
SHZHTE,2009,"SHANGHAI ZHONGXING TEXTILE CO., LTD","SHANGHAI ZHONGXING TEXTILE CO., LTD",NA,"NO.28 RONGXING RD. RONGBEI INDUSTRIAL AREA, SONGJIANG DISTRICT, SHANGHAI,",NA,NA,1/22/07,"no.28 rongxing rd. rongbei industrial area, songjiang district, shanghai,","shanghai zhongxing textile co., ltd","shanghai zhongxing textile co., ltd",shanghai,shanghai,songjiang,28,rongbei,NA,NA,rongxing,shanghai zhongxing textile,zhongxing,上海中兴纺织品有限公司,松江区茸北镇茸北工业区茸兴路28号,3.1e+11,T,
BESBEL,2009,BEST BELT INC. LIMITED (SUZHOU),BEST BELT INC. LIMITED (SUZHOU),NA,"NO.15 NAN XI ROAD, SHAJIABANG TOWN, CITY OF CHANGSHU, JIANGSU CHINA,",NA,NA,2002-10-09,"no.15 nan xi road, shajiabang town, city of changshu, jiangsu china,",best belt inc. limited (suzhou),best belt inc. limited (suzhou),jiangsu,suzhou,changshu,15,NA,shajiabang,NA,nanxi,best belt,best,倍思皮具（苏州）有限公司,沙家浜镇常昆园区南溪路15号,3.21e+11,T,
CHADRE,2009,"CHANGSHU SUZHAN DRESS CO., LTD","CHANGSHU SUZHAN DRESS CO., LTD",NA,"NO.2 SIXIN ROAD, YUSHAN INDUSTRY ZONE, ,",NA,NA,2001-09-09,"no.2 sixin road, yushan industry zone, ,","changshu suzhan dress co., ltd","changshu suzhan dress co., ltd",jiangsu,suzhou,changshu,2,NA,NA,NA,sixin,changshu suzhan dress,suzhan,常熟市苏展服饰有限公司,高新技术园四新路2号,"3.21e+11,3.21e+11",T,MM: found the correct one and fixed it
CHAFUC,2009,CHANGSHU FUCHENG SILK CRAF FASHION LTD.,NA,NA,NA,NA,NA,NA,NA,changshu fucheng silk craf fashion ltd.,NA,jiangsu,suzhou,changshu,NA,NA,NA,NA,NA,changshu fucheng silk craf fashion,fucheng,常熟福诚丝绸工艺时装有限公司,虞山镇福圩村,3.21e+11,L,
CHASHU,2009,CHANGSHU YASHIDA FASHION CO LTD.,CHANGSHU YASHIDA FASHION CO LTD.,江蘇省常熟市張橋鎮体育路388號,"388 TIYU ROAD,  ZHANG QIAO TOWN, , ,",NA,NA,11/19/07,"388 tiyu road,  zhang qiao town, , ,",changshu yashida fashion co ltd.,changshu yashida fashion co ltd.,jiangsu,suzhou,changshu,388,NA,zhang qiao,NA,tiyu,changshu yashida fashion,yashida,常熟雅士达时装有限公司,常熟市辛庄镇嘉菱村,3.21e+11,L,
CHHUKN,2009,"CHANGSHU HUAFANG KNITTING CO., LTD","CHANGSHU HUAFANG KNITTING CO., LTD",NA,"Guli Town, Changshu City, Jiangsu Province, ,",NA,NA,2002-04-08,"guli town, changshu city, jiangsu province, ,","changshu huafang knitting co., ltd","changshu huafang knitting co., ltd",jiangsu,suzhou,changshu,NA,NA,guli,NA,NA,changshu huafang knitting,huafang,常熟华方针织有限公司,江苏省常熟市古里镇工业区,3.21e+11,T,
CHKACL,2009,"CHANGZHOU KAIGENU CLOTHES CO.,LTD.","CHANGZHOU KAIGENU CLOTHES CO.,LTD.",NA,"NO 8 DANFENGXILU JINGCHENG INDUSTRY ZONE, JINGTAN , JIANGSU, ,",NA,NA,7/27/09,"no 8 danfengxilu jingcheng industry zone, jingtan , jiangsu, ,","changzhou kaigenu clothes co.,ltd.","changzhou kaigenu clothes co.,ltd.",jiangsu,changzhou,NA,8,NA,NA,NA,NA,changzhou kaigenu clothes,kaigenu,常州凯格努服饰有限公司,东环二路103号,3.2e+11,T,
CHXIGA,2009,CHANGZHOU XINCHAO GARMENT COMPANY LTD.,CHANGZHOU XINCHAO GARMENT COMPANY LTD.,NA,"NO.12, NORTH HUA YANG ROAD, CHANGZHOU, JIANGSU PROVINCE, CHINA,",NA,NA,11/20/09,"no.12, north hua yang road, changzhou, jiangsu province, china,",changzhou xinchao garment company ltd.,changzhou xinchao garment company ltd.,jiangsu,changzhou,NA,12,NA,NA,NA,huayang,changzhou xinchao garment,xinchao,常州新潮服饰有限公司,青龙华阳北路12号,3.2e+11,T,
CHZHXI,2009,CHANGSHU ZHONG XING GARMENT CO. LTD.,CHANGSHU YAMAWA GARMENTS CO. LTD.,NA,"8, DONG SHAN ROAD, CHANGSHU, YUSHAN INDUSTRIAL, ZONE, JIANGSU, CHINA, ,",NA,NA,2002-09-09,"8, dong shan road, changshu, yushan industrial, zone, jiangsu, china, ,",changshu zhong xing garment co. ltd.,changshu yamawa garments co. ltd.,jiangsu,suzhou,changshu,8,yushan,NA,NA,dongshan,changshu zhong xing garment,zhongxing,常熟雅玛娃时装有限公司,虞山工业园东山路8号,"3.21e+11,3.21e+11,3.21e+11,3.21e+11,3.21e+11,3.21e+11,3.21e+11,3.21e+11",T,MM: found the one and fixed it
HAKNAN,2009,"HAKERS ENTERPRISE (NANJING) CO., LTD.","HAKERS ENTERPRISE (NANJING) CO., LTD.",NA,"NO.66 HENGFEI ROAD, NANJING ECONOMI, & TECHNOLOGICAL DEVELOPMENT ZONE, ,",NA,NA,1/14/09,"no.66 hengfei road, nanjing economi, & technological development zone, ,","hakers enterprise (nanjing) co., ltd.","hakers enterprise (nanjing) co., ltd.",jiangsu,nanjing,NA,66,NA,NA,NA,hengfei,hakers,hakers,洽铭服饰（南京）有限公司,南京经济技术开发区恒飞路66号,3.2e+11,T,
JIAAIK,2009,JIANGSU DONGSHENG AIKE TECHNOLOGY CO. LTD.,JIANGSU DONGSHENG AIKE TECHNOLOGY CO. LTD.,NA,"NO. 122 JUEBING ROAD, JUEGANG TOWN, RUDONG COUNTY,NANTONG CITY, JIANGSU PROVINCE,CHINA",NA,NA,2004-07-08,"no. 122 juebing road, juegang town, rudong county,nantong city, jiangsu province,china",jiangsu dongsheng aike technology co. ltd.,jiangsu dongsheng aike technology co. ltd.,jiangsu,nantong,rudong,122,NA,juegang,NA,juebing,jiangsu dongsheng aike technology,dongshengaike,江苏东升艾克科技股份有限公司,如东县掘港镇掘兵路122号,3.21e+11,T,
JIACHU,2009,"JIANGSU CHAO CHU ARTS & CRAFTS CO., LTD.","JIANGSU CHAO CHU ARTS & CRAFTS CO., LTD.",NA,"HOU BAI INDUSTRIAL AREA, HOU BAI TOWN, JURONG CITY, JIANGSU PROVINCE, CHINA,",NA,NA,2008-12-09,"hou bai industrial area, hou bai town, jurong city, jiangsu province, china,","jiangsu chao chu arts & crafts co., ltd.","jiangsu chao chu arts & crafts co., ltd.",jiangsu,zhenjiang,jurong,NA,houbai,hou bai,NA,NA,jiangsu chao chu arts  crafts,chaochu,江苏超矗工艺品有限公司,后白镇工业园区,3.21e+11,T,
